Title,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,First Interest High-Point,Second Interest High-Point,Third Interest High-Point
"Compensation, Benefits, and Job Analysis Specialists",2,3,1,3,9,9,10,8,0
Training and Development Specialists,1,2,6,9,5,6,6,5,10
Market Research Analysts and Marketing Specialists,1,9,1,1,7,5,2,8,10
Search Marketing Strategists,1,6,3,1,7,4,8,3,10
Business Continuity Planners,0,6,2,1,9,5,8,3,10
Sustainability Specialists,1,6,4,2,8,3,8,3,5
Online Merchants,5,1,1,2,10,8,8,10,2
Accountants and Auditors,1,4,0,1,6,10,10,8,3
Appraisers and Assessors of Real Estate,4,3,0,1,8,8,8,10,2
Budget Analysts,1,5,1,2,8,10,10,8,3
Credit Analysts,3,3,0,3,7,10,10,8,0
Personal Financial Advisors,0,3,1,4,9,8,8,10,7
Insurance Underwriters,1,4,0,2,6,9,10,8,3
Financial Examiners,1,3,1,2,9,8,8,10,0
Credit Counselors,0,2,2,7,7,7,8,7,10
Loan Officers,0,3,0,5,8,9,10,8,7
"Tax Examiners and Collectors, and Revenue Agents",3,2,0,4,8,10,10,8,0
Tax Preparers,1,1,0,3,6,10,10,8,0
Financial Quantitative Analysts,2,9,4,1,3,8,2,10,0
"Fraud Examiners, Investigators and Analysts",2,8,0,1,9,4,8,3,10
Computer Systems Analysts,6,9,1,2,4,9,2,10,2
Health Informatics Specialists,3,7,2,7,3,4,6,3,0
Information Security Analysts,6,7,1,2,2,9,10,3,2
Computer and Information Research Scientists,7,10,6,0,1,6,2,2,10
Computer Network Support Specialists,8,3,1,1,5,4,0,8,10
Computer User Support Specialists,8,7,1,6,3,7,0,3,10
Computer Network Architects,5,8,2,2,7,8,2,10,8
Telecommunications Engineering Specialists,8,3,1,1,7,4,0,8,10
Database Administrators,4,7,2,2,4,10,10,3,0
Database Architects,3,7,3,1,4,5,2,10,8
Data Warehousing Specialists,1,8,2,1,3,6,2,10,0
Network and Computer Systems Administrators,8,8,1,2,5,6,2,2,10
Computer Programmers,4,10,3,2,2,8,2,10,0
Software Quality Assurance Analysts and Testers,6,9,2,0,1,8,2,10,2
Web Developers,6,7,5,0,4,7,10,3,2
Video Game Designers,2,3,8,1,6,4,4,8,0
Web Administrators,5,6,2,0,6,9,10,8,3
Geographic Information Systems Technologists and Technicians,7,9,2,0,2,6,2,2,10
Document Management Specialists,2,3,2,2,3,10,10,0,0
Computer Systems Engineers/Architects,8,9,3,0,1,6,2,2,10
Information Technology Project Managers,1,3,2,2,9,4,8,10,0
Actuaries,2,6,1,0,4,8,10,3,8
Mathematicians,1,10,5,0,1,6,2,10,5
Operations Research Analysts,3,9,3,1,6,7,2,10,8
Statisticians,2,8,2,0,2,9,10,3,0
Biostatisticians,3,9,2,1,0,7,2,10,0
Business Intelligence Analysts,1,8,2,1,7,5,2,8,10
Clinical Data Managers,3,7,1,2,3,10,10,3,0
Bioinformatics Technicians,6,9,1,1,1,5,2,2,10
"Architects, Except Landscape and Naval",5,7,9,1,5,2,4,3,0
Landscape Architects,7,7,9,1,5,2,4,3,2
Cartographers and Photogrammetrists,8,7,4,0,2,7,0,3,10
Surveyors,9,7,4,1,2,7,0,10,3
Geodetic Surveyors,6,7,1,0,1,7,2,10,2
Aerospace Engineers,8,10,4,1,2,3,2,2,0
Agricultural Engineers,9,9,3,1,6,3,2,2,8
Bioengineers and Biomedical Engineers,8,10,3,2,2,4,2,2,0
Chemical Engineers,9,9,2,0,3,4,2,2,0
Civil Engineers,9,8,3,1,3,6,0,3,10
Transportation Engineers,9,8,2,1,4,4,0,3,0
Water/Wastewater Engineers,8,9,2,1,5,4,2,2,8
Computer Hardware Engineers,9,9,2,0,2,6,2,2,10
Electrical Engineers,8,9,2,0,3,4,2,2,0
"Electronics Engineers, Except Computer",8,10,5,2,3,4,2,2,0
Radio Frequency Identification Device Specialists,9,7,2,0,2,4,0,3,10
Environmental Engineers,6,10,3,1,4,6,2,2,10
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",7,9,1,2,4,7,2,2,10
Fire-Prevention and Protection Engineers,7,9,2,2,6,5,2,2,8
Industrial Engineers,6,10,2,1,6,6,2,10,8
Human Factors Engineers and Ergonomists,7,8,2,3,3,3,2,2,0
Validation Engineers,7,8,2,1,3,6,2,2,10
Manufacturing Engineers,9,8,2,0,4,4,0,3,0
Marine Engineers and Naval Architects,8,10,5,0,3,4,2,2,5
Materials Engineers,8,10,3,1,6,4,2,2,8
Mechanical Engineers,9,9,3,2,1,5,2,2,10
Fuel Cell Engineers,8,8,2,1,4,3,0,3,0
Automotive Engineers,10,8,2,1,4,4,0,3,0
"Mining and Geological Engineers, Including Mining Safety Engineers",8,9,1,1,6,4,2,2,8
Nuclear Engineers,7,10,1,0,2,4,2,2,10
Petroleum Engineers,7,9,1,0,4,7,2,2,10
"Energy Engineers, Except Wind and Solar",8,10,3,0,1,4,2,2,0
Mechatronics Engineers,7,10,4,0,1,5,2,2,10
Microsystems Engineers,8,10,2,0,1,5,2,2,10
Photonics Engineers,7,10,5,1,1,5,2,2,10
Robotics Engineers,8,9,3,0,1,5,2,2,10
Nanosystems Engineers,7,9,3,1,6,3,2,2,8
Wind Energy Engineers,8,6,2,1,5,4,0,3,8
Solar Energy Systems Engineers,9,8,2,1,4,4,0,3,0
Architectural and Civil Drafters,8,6,6,1,2,7,0,10,5
Electrical and Electronics Drafters,8,6,4,1,1,7,0,10,3
Mechanical Drafters,9,5,4,0,2,5,0,10,3
Aerospace Engineering and Operations Technologists and Technicians,9,8,1,1,2,7,0,3,10
Civil Engineering Technologists and Technicians,8,7,3,0,2,7,0,10,3
Electrical and Electronic Engineering Technologists and Technicians,9,8,2,0,2,5,0,3,10
Electro-Mechanical and Mechatronics Technologists and Technicians,10,7,2,1,1,7,0,3,10
Robotics Technicians,9,6,2,0,1,3,0,3,0
Environmental Engineering Technologists and Technicians,10,8,1,0,2,7,0,3,10
Industrial Engineering Technologists and Technicians,7,9,1,1,4,7,2,2,10
Nanotechnology Engineering Technologists and Technicians,8,5,1,1,2,6,0,10,3
Mechanical Engineering Technologists and Technicians,8,8,4,0,1,4,0,3,0
Automotive Engineering Technicians,9,4,1,1,3,4,0,3,10
Non-Destructive Testing Specialists,9,9,1,0,3,6,0,3,10
Photonics Technicians,10,7,2,0,1,5,0,3,10
Surveying and Mapping Technicians,7,4,1,0,1,9,10,2,3
Animal Scientists,7,10,2,0,2,3,2,2,0
Food Scientists and Technologists,7,10,3,1,2,6,2,2,10
Soil and Plant Scientists,8,10,4,3,1,3,2,2,0
Biochemists and Biophysicists,6,10,7,1,1,4,2,5,2
Microbiologists,6,10,1,1,2,3,2,2,0
Zoologists and Wildlife Biologists,7,10,2,1,3,3,2,2,0
Bioinformatics Scientists,6,10,3,1,0,7,2,10,2
Molecular and Cellular Biologists,7,10,6,1,0,3,2,2,5
Geneticists,6,10,6,2,1,3,2,5,2
Biologists,5,10,1,1,3,4,2,2,0
Conservation Scientists,7,7,2,2,7,3,0,3,8
Range Managers,8,8,1,1,6,4,0,3,8
Park Naturalists,6,4,6,10,4,1,6,2,5
Foresters,9,8,1,2,5,3,0,3,8
Epidemiologists,4,10,1,5,3,4,2,7,0
"Medical Scientists, Except Epidemiologists",6,10,6,5,1,2,2,2,5
Astronomers,6,10,7,3,1,3,2,5,2
Physicists,5,10,4,0,2,3,2,2,0
Atmospheric and Space Scientists,6,9,2,4,3,4,2,2,0
Chemists,5,10,2,0,2,4,2,2,10
Materials Scientists,7,10,3,1,4,4,2,2,0
"Environmental Scientists and Specialists, Including Health",7,10,4,1,1,5,2,2,10
Climate Change Policy Analysts,2,8,3,2,6,3,2,8,0
Environmental Restoration Planners,8,8,2,2,7,2,2,2,8
Industrial Ecologists,2,9,2,1,5,3,2,8,0
"Geoscientists, Except Hydrologists and Geographers",7,10,3,1,2,4,2,2,0
Hydrologists,7,10,3,1,3,3,2,2,0
Remote Sensing Scientists and Technologists,9,8,2,0,1,4,0,3,0
Economists,2,10,3,1,5,6,2,10,8
Environmental Economists,1,10,2,2,4,4,2,8,10
Survey Researchers,0,9,2,1,6,7,2,10,8
Industrial-Organizational Psychologists,0,9,5,5,7,3,2,8,5
Clinical and Counseling Psychologists,1,9,6,9,3,2,2,7,5
School Psychologists,1,10,4,8,1,4,2,7,0
Sociologists,1,10,7,6,1,3,2,5,7
Urban and Regional Planners,3,9,5,2,6,3,2,8,5
Anthropologists and Archeologists,5,10,7,3,2,4,2,5,2
Geographers,6,10,5,3,0,4,2,2,5
Historians,0,9,3,3,3,3,2,0,0
Political Scientists,1,10,7,6,2,2,2,5,7
Transportation Planners,4,9,3,1,2,5,2,10,2
Agricultural Technicians,9,7,0,1,2,6,0,3,10
Precision Agriculture Technicians,8,8,1,0,3,6,0,3,10
Food Science Technicians,8,7,1,0,1,7,0,3,10
Biological Technicians,9,7,1,1,2,6,0,3,10
Chemical Technicians,8,8,1,0,2,5,2,2,10
"Environmental Science and Protection Technicians, Including Health",7,8,1,1,2,4,2,2,10
"Geological Technicians, Except Hydrologic Technicians",8,7,0,0,2,7,0,3,10
Nuclear Technicians,10,7,1,1,2,7,0,10,3
Nuclear Monitoring Technicians,9,6,1,1,4,7,0,10,3
Social Science Research Assistants,1,7,2,3,2,9,10,3,0
Forest and Conservation Technicians,7,5,3,4,5,3,0,3,8
Forensic Science Technicians,7,9,2,1,1,7,2,2,10
Quality Control Analysts,6,7,1,0,3,9,10,3,2
Remote Sensing Technicians,9,8,1,2,2,6,0,3,10
Occupational Health and Safety Specialists,5,9,1,5,3,7,2,10,0
Occupational Health and Safety Technicians,7,5,1,4,3,10,10,2,0
Substance Abuse and Behavioral Disorder Counselors,1,5,6,10,3,2,6,5,3
"Educational, Guidance, and Career Counselors and Advisors",0,4,4,10,4,4,6,0,0
Marriage and Family Therapists,0,5,6,10,3,2,6,5,3
Mental Health Counselors,1,6,5,10,2,2,6,3,5
Rehabilitation Counselors,0,5,4,10,4,4,6,3,0
"Child, Family, and School Social Workers",0,4,4,10,6,3,6,8,0
Healthcare Social Workers,0,5,4,10,4,3,6,3,0
Mental Health and Substance Abuse Social Workers,0,6,6,10,3,3,6,3,5
Health Education Specialists,1,4,4,10,6,3,6,8,0
Probation Officers and Correctional Treatment Specialists,1,2,2,9,7,6,6,8,10
Social and Human Service Assistants,1,2,1,8,6,9,10,7,8
Community Health Workers,2,4,3,10,4,3,6,3,8
Clergy,0,2,6,10,6,3,6,8,5
"Directors, Religious Activities and Education",1,0,3,8,10,5,8,7,10
Lawyers,1,6,5,4,10,4,8,3,0
Judicial Law Clerks,0,5,2,2,7,8,10,8,3
"Administrative Law Judges, Adjudicators, and Hearing Officers",0,7,3,5,9,4,8,3,7
"Arbitrators, Mediators, and Conciliators",0,3,4,9,9,5,6,8,0
"Judges, Magistrate Judges, and Magistrates",1,4,2,8,10,5,8,7,0
Paralegals and Legal Assistants,0,7,1,2,6,8,10,3,8
"Title Examiners, Abstractors, and Searchers",5,2,0,2,7,10,10,8,2
"Business Teachers, Postsecondary",0,5,4,10,6,4,6,8,3
"Computer Science Teachers, Postsecondary",3,8,4,9,1,7,6,3,10
"Mathematical Science Teachers, Postsecondary",1,8,5,9,1,5,6,3,5
"Architecture Teachers, Postsecondary",4,3,7,10,2,3,6,5,0
"Engineering Teachers, Postsecondary",6,8,3,9,3,3,6,3,2
"Agricultural Sciences Teachers, Postsecondary",6,8,4,9,2,3,6,3,2
"Biological Science Teachers, Postsecondary",4,9,4,9,2,2,6,3,0
"Forestry and Conservation Science Teachers, Postsecondary",6,8,4,9,2,3,6,3,2
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4,9,5,9,3,2,6,3,0
"Chemistry Teachers, Postsecondary",6,9,4,9,3,2,6,3,2
"Environmental Science Teachers, Postsecondary",3,8,6,10,3,1,6,3,5
"Physics Teachers, Postsecondary",4,8,4,9,3,2,6,3,0
"Anthropology and Archeology Teachers, Postsecondary",2,7,4,10,3,3,6,3,0
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1,8,6,9,2,2,6,3,5
"Economics Teachers, Postsecondary",0,7,4,10,4,3,6,3,0
"Geography Teachers, Postsecondary",3,8,6,10,2,4,6,3,0
"Political Science Teachers, Postsecondary",0,4,5,10,6,3,6,8,5
"Psychology Teachers, Postsecondary",1,9,6,9,3,3,6,3,5
"Sociology Teachers, Postsecondary",0,7,5,10,2,3,6,3,5
"Health Specialties Teachers, Postsecondary",1,8,4,9,2,3,6,3,0
"Nursing Instructors and Teachers, Postsecondary",2,8,4,10,2,2,6,3,0
"Education Teachers, Postsecondary",1,5,6,10,3,3,6,5,3
"Library Science Teachers, Postsecondary",1,8,5,9,2,6,6,3,10
"Criminal Justice and Law Enforcement Teachers, Postsecondary",3,8,3,9,3,1,6,3,0
"Law Teachers, Postsecondary",0,8,4,9,7,3,6,3,8
"Social Work Teachers, Postsecondary",1,8,5,10,3,3,6,3,0
"Art, Drama, and Music Teachers, Postsecondary",4,4,9,9,3,3,6,5,0
"Communications Teachers, Postsecondary",0,5,6,10,4,4,6,5,0
"English Language and Literature Teachers, Postsecondary",1,6,8,9,2,3,6,5,3
"Foreign Language and Literature Teachers, Postsecondary",1,7,7,10,3,3,6,5,3
"History Teachers, Postsecondary",2,7,5,9,2,4,6,3,5
"Philosophy and Religion Teachers, Postsecondary",0,6,7,10,3,2,6,5,3
"Family and Consumer Sciences Teachers, Postsecondary",1,7,6,9,3,3,6,3,5
"Recreation and Fitness Studies Teachers, Postsecondary",5,4,5,9,3,3,6,0,0
"Career/Technical Education Teachers, Postsecondary",7,3,3,10,4,2,6,2,0
"Preschool Teachers, Except Special Education",2,3,8,10,4,2,6,5,0
"Kindergarten Teachers, Except Special Education",1,2,6,10,4,3,6,5,0
"Elementary School Teachers, Except Special Education",1,4,6,10,2,5,6,5,10
"Middle School Teachers, Except Special and Career/Technical Education",2,4,7,10,4,3,6,5,0
"Career/Technical Education Teachers, Middle School",1,6,7,10,3,6,6,5,10
"Secondary School Teachers, Except Special and Career/Technical Education",1,3,6,10,5,3,6,5,8
"Career/Technical Education Teachers, Secondary School",4,4,4,10,4,3,6,0,0
"Special Education Teachers, Preschool",0,3,5,10,1,4,6,5,0
"Special Education Teachers, Middle School",2,4,7,10,4,3,6,5,0
"Special Education Teachers, Secondary School",1,6,5,10,4,4,6,3,0
Adapted Physical Education Specialists,5,2,2,10,3,3,6,2,0
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",2,2,6,10,5,3,6,5,8
Self-Enrichment Teachers,1,3,7,10,5,2,6,5,8
Tutors,1,7,3,9,1,3,6,3,0
Archivists,3,7,1,4,2,9,10,3,0
Curators,2,5,5,4,9,8,8,10,0
Museum Technicians and Conservators,10,4,5,1,3,4,0,5,0
Librarians and Media Collections Specialists,5,4,2,7,4,9,10,7,2
Library Technicians,2,1,1,7,4,10,10,7,8
Farm and Home Management Educators,7,6,2,10,6,2,6,2,8
Instructional Coordinators,2,7,6,9,6,3,6,3,8
"Teaching Assistants, Postsecondary",1,2,4,9,3,5,6,10,0
Art Directors,3,1,10,2,9,3,4,8,0
Craft Artists,8,2,10,1,7,1,4,2,8
"Fine Artists, Including Painters, Sculptors, and Illustrators",7,3,10,2,4,0,4,2,0
Special Effects Artists and Animators,3,5,10,1,1,3,4,3,0
Commercial and Industrial Designers,5,2,9,2,6,1,4,8,2
Fashion Designers,5,1,10,2,8,1,4,8,2
Floral Designers,6,0,9,2,7,3,4,8,2
Graphic Designers,6,1,10,2,6,2,4,2,8
Interior Designers,3,1,9,3,7,1,4,8,0
Merchandise Displayers and Window Trimmers,7,1,8,1,7,2,4,8,2
Set and Exhibit Designers,7,3,10,2,4,2,4,2,0
Actors,3,1,9,3,6,1,4,8,0
Producers and Directors,1,1,8,4,9,4,8,5,7
Media Programming Directors,1,1,6,3,10,7,8,10,5
Talent Directors,1,1,8,4,10,4,8,5,0
Media Technical Directors/Managers,5,2,5,1,10,5,8,2,10
Athletes and Sports Competitors,9,0,1,3,6,2,0,8,0
Coaches and Scouts,8,1,2,8,8,4,6,2,8
"Umpires, Referees, and Other Sports Officials",8,1,1,3,8,6,0,8,10
Dancers,7,1,10,4,3,0,4,2,0
Choreographers,3,1,10,7,6,1,4,7,8
Music Directors and Composers,2,2,10,4,6,2,4,8,7
Musicians and Singers,2,0,10,2,5,0,4,8,7
Broadcast Announcers and Radio Disc Jockeys,0,2,8,6,7,2,4,8,7
"News Analysts, Reporters, and Journalists",1,5,9,5,6,3,4,8,3
Public Relations Specialists,0,2,7,6,10,3,8,5,7
Editors,1,2,9,2,8,5,4,8,10
Technical Writers,1,6,9,1,3,4,4,3,10
Writers and Authors,1,3,9,2,9,3,8,5,10
"Poets, Lyricists and Creative Writers",1,7,10,2,4,2,4,3,0
Interpreters and Translators,1,4,8,7,2,4,4,7,0
Court Reporters and Simultaneous Captioners,1,1,2,3,4,9,10,8,0
Audio and Video Technicians,10,7,4,0,1,6,0,3,10
Broadcast Technicians,10,6,1,1,2,7,0,10,3
Sound Engineering Technicians,9,3,7,0,4,4,0,5,0
Photographers,6,2,8,2,4,1,4,2,0
"Camera Operators, Television, Video, and Film",9,3,8,2,2,4,0,5,0
Film and Video Editors,3,4,9,1,4,2,4,8,3
Chiropractors,7,8,2,8,3,2,6,3,2
"Dentists, General",7,10,1,5,2,3,2,2,7
Oral and Maxillofacial Surgeons,8,7,1,8,3,3,0,7,3
Orthodontists,7,10,1,6,4,2,2,2,7
Prosthodontists,8,10,2,5,1,3,2,2,0
Dietitians and Nutritionists,2,9,2,9,5,2,2,7,0
Optometrists,7,8,0,7,4,3,2,7,2
Pharmacists,4,10,1,6,3,7,2,10,7
Physician Assistants,5,9,2,9,1,3,6,3,2
Anesthesiologist Assistants,7,6,0,7,3,3,0,7,3
Podiatrists,6,10,2,8,3,2,2,7,2
Occupational Therapists,3,6,4,10,3,4,6,3,0
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",6,6,3,10,3,3,6,3,2
Physical Therapists,6,8,2,10,3,3,6,3,2
Radiation Therapists,7,4,0,8,1,7,6,2,10
Recreational Therapists,1,4,6,10,4,2,6,5,0
Respiratory Therapists,6,7,1,9,2,3,6,3,2
Speech-Language Pathologists,1,8,6,9,2,2,6,3,5
Exercise Physiologists,5,7,4,9,4,3,6,3,2
Art Therapists,1,5,9,10,1,3,6,5,3
Music Therapists,1,6,9,9,1,2,6,5,3
Veterinarians,8,10,2,4,1,3,2,2,0
Registered Nurses,4,8,1,10,2,6,6,3,10
Acute Care Nurses,6,7,2,10,2,1,6,3,2
Advanced Practice Psychiatric Nurses,2,8,4,9,2,2,6,3,0
Critical Care Nurses,5,6,3,9,3,3,6,3,2
Clinical Nurse Specialists,2,5,0,8,9,6,8,7,10
Nurse Anesthetists,7,9,1,6,1,3,2,2,7
Nurse Midwives,4,5,2,10,3,1,6,3,0
Nurse Practitioners,6,8,3,9,2,3,6,3,2
Audiologists,3,9,2,9,1,4,2,7,0
Anesthesiologists,7,7,2,7,3,3,2,2,7
Dermatologists,6,10,2,8,2,1,2,7,2
Family Medicine Physicians,5,9,2,8,3,3,2,7,0
General Internal Medicine Physicians,6,9,2,7,4,3,2,7,2
Neurologists,6,10,2,8,3,2,2,7,2
Obstetricians and Gynecologists,7,10,2,8,4,2,2,7,2
"Pediatricians, General",4,10,3,8,2,3,2,7,0
"Physicians, Pathologists",6,9,1,3,0,4,2,2,0
Psychiatrists,2,10,6,8,2,3,2,7,5
Radiologists,8,9,1,6,0,3,2,2,7
Allergists and Immunologists,6,10,3,8,1,1,2,7,2
Hospitalists,4,7,1,9,3,2,6,3,0
Urologists,6,10,2,7,3,2,2,7,2
Physical Medicine and Rehabilitation Physicians,5,10,3,8,1,2,2,7,2
Preventive Medicine Physicians,6,9,3,9,2,1,6,3,2
Sports Medicine Physicians,6,9,2,8,1,2,2,7,2
"Ophthalmologists, Except Pediatric",7,10,2,7,2,3,2,7,2
Acupuncturists,7,7,2,8,2,1,6,2,3
Dental Hygienists,8,3,0,8,2,4,6,2,10
Naturopathic Physicians,4,9,5,9,1,1,2,7,0
Orthoptists,6,9,1,7,3,1,2,7,2
Medical and Clinical Laboratory Technologists,8,10,1,2,3,6,2,2,10
Cytogenetic Technologists,7,9,2,2,2,6,2,2,10
Cytotechnologists,7,9,1,1,1,4,2,2,0
Medical and Clinical Laboratory Technicians,8,8,1,5,1,6,0,3,10
Cardiovascular Technologists and Technicians,7,7,1,7,2,4,0,3,7
Diagnostic Medical Sonographers,7,8,1,8,3,4,2,7,2
Nuclear Medicine Technologists,8,9,1,5,1,4,2,2,7
Radiologic Technologists and Technicians,9,4,1,6,3,4,0,7,10
Magnetic Resonance Imaging Technologists,7,4,1,4,2,6,0,10,7
Dietetic Technicians,5,6,1,9,3,2,6,3,2
Pharmacy Technicians,7,3,0,4,3,10,10,2,0
Psychiatric Technicians,4,3,1,9,4,3,6,8,2
Surgical Technologists,8,2,0,7,2,5,0,7,10
Veterinary Technologists and Technicians,10,8,1,3,2,4,0,3,0
Ophthalmic Medical Technicians,4,3,1,6,2,7,10,7,2
Licensed Practical and Licensed Vocational Nurses,7,4,1,10,2,4,6,2,0
"Opticians, Dispensing",6,1,1,6,9,7,8,10,2
Orthotists and Prosthetists,7,6,2,10,2,2,6,2,3
Hearing Aid Specialists,5,8,1,8,3,3,6,3,2
Neurodiagnostic Technologists,9,7,1,4,3,4,0,3,0
Ophthalmic Medical Technologists,5,5,1,4,4,6,10,2,3
Patient Representatives,0,2,1,9,4,2,6,8,0
Athletic Trainers,7,6,2,9,3,1,6,2,3
Genetic Counselors,0,9,5,9,2,3,6,3,5
Surgical Assistants,5,4,1,7,1,9,10,7,2
Midwives,4,3,2,10,3,1,6,2,0
Home Health Aides,7,2,2,10,2,3,6,2,0
Personal Care Aides,7,1,1,10,2,6,6,2,10
Nursing Assistants,6,1,1,9,1,8,6,10,2
Orderlies,7,0,0,4,1,9,10,2,7
Psychiatric Aides,6,2,2,10,2,6,6,2,10
Occupational Therapy Assistants,6,4,3,10,1,3,6,2,0
Occupational Therapy Aides,6,2,2,10,2,4,6,2,0
Physical Therapist Assistants,7,5,1,9,2,3,6,2,3
Physical Therapist Aides,8,1,1,9,2,3,6,2,0
Massage Therapists,8,4,1,9,2,3,6,2,0
Dental Assistants,8,4,1,6,3,8,10,2,7
Medical Assistants,6,3,1,9,2,9,6,10,2
Medical Equipment Preparers,9,4,0,2,2,8,0,10,3
Medical Transcriptionists,5,4,2,2,3,10,10,2,0
Pharmacy Aides,6,3,0,4,4,10,10,2,0
Veterinary Assistants and Laboratory Animal Caretakers,9,5,2,6,2,3,0,7,3
Phlebotomists,7,5,0,5,2,8,10,2,3
Speech-Language Pathology Assistants,3,3,2,9,3,8,6,10,0
Endoscopy Technicians,9,6,0,2,1,6,0,3,10
First-Line Supervisors of Correctional Officers,6,2,0,5,10,7,8,10,2
First-Line Supervisors of Police and Detectives,4,2,1,6,10,6,8,7,10
First-Line Supervisors of Firefighting and Prevention Workers,8,3,0,5,10,4,8,2,7
Firefighters,10,3,0,6,4,2,0,7,8
