Title,Achievement,Working Conditions,Recognition,Relationships,Support,Independence,First Work Value High-Point,Second Work Value High-Point,Third Work Value High-Point
Clinical Research Coordinators,7,7,6,5,4,7,10,0,3
Water Resource Specialists,8,8,7,5,4,7,0,2,10
Postmasters and Mail Superintendents,5,7,5,6,7,8,10,8,3
"Property, Real Estate, and Community Association Managers",7,7,6,5,4,8,10,0,3
Social and Community Service Managers,7,8,7,9,5,8,6,10,3
Emergency Management Directors,7,7,7,7,6,8,10,6,5
Funeral Home Managers,8,7,7,9,2,7,6,0,10
Fitness and Wellness Coordinators,8,7,7,8,4,8,6,10,2
Spa Managers,7,6,7,7,4,8,10,6,2
Regulatory Affairs Managers,7,6,6,5,6,6,0,10,8
Compliance Managers,7,6,6,6,6,6,0,8,10
Loss Prevention Managers,7,6,5,6,4,6,0,6,10
Wind Energy Operations Managers,8,8,7,6,4,7,0,2,5
Wind Energy Development Managers,8,8,8,5,4,8,0,10,5
Brownfield Redevelopment Specialists and Site Managers,9,8,7,8,4,7,0,6,3
"Agents and Business Managers of Artists, Performers, and Athletes",9,8,7,7,4,9,0,10,5
"Buyers and Purchasing Agents, Farm Products",5,5,4,4,4,7,10,2,2
"Wholesale and Retail Buyers, Except Farm Products",5,4,4,4,4,4,10,0,7
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5,7,5,6,6,6,2,10,8
"Claims Adjusters, Examiners, and Investigators",5,6,5,5,6,6,8,10,3
"Insurance Appraisers, Auto Damage",5,6,4,5,6,6,10,8,3
Compliance Officers,5,5,4,6,6,6,6,8,10
Environmental Compliance Inspectors,7,6,4,3,5,4,0,2,8
Equal Opportunity Representatives and Officers,7,7,6,8,6,6,6,0,3
Government Property Inspectors and Investigators,4,5,4,6,7,6,8,10,7
Coroners,7,6,5,4,6,7,10,0,8
Regulatory Affairs Specialists,6,6,5,4,5,6,2,10,8
Customs Brokers,7,6,6,6,4,6,0,10,5
Cost Estimators,5,6,5,6,4,6,10,6,3
Human Resources Specialists,7,7,5,8,7,4,6,8,2
Farm Labor Contractors,3,3,4,6,2,5,6,10,5
Labor Relations Specialists,8,7,6,8,6,6,0,6,8
Logisticians,7,7,7,6,5,8,10,0,5
Logistics Engineers,8,8,8,4,6,8,0,10,5
Logistics Analysts,7,6,6,4,4,6,0,10,5
Management Analysts,7,7,7,8,4,7,6,0,10
"Meeting, Convention, and Event Planners",7,7,7,9,3,7,6,10,2
Fundraisers,9,8,6,9,4,8,0,6,10
"Compensation, Benefits, and Job Analysis Specialists",6,5,6,7,6,5,6,8,2
Training and Development Specialists,7,7,6,9,6,7,6,0,10
Market Research Analysts and Marketing Specialists,6,6,4,3,5,4,0,2,8
Search Marketing Strategists,7,6,5,3,5,5,0,2,10
Business Continuity Planners,8,7,6,4,4,8,0,10,3
Sustainability Specialists,7,7,5,5,4,7,0,10,3
Online Merchants,6,5,4,4,2,6,10,0,3
Accountants and Auditors,7,6,6,6,6,6,0,10,5
Appraisers and Assessors of Real Estate,4,5,4,3,5,6,10,8,3
Budget Analysts,5,8,5,4,6,5,2,8,10
Credit Analysts,6,5,6,6,5,5,6,8,10
Personal Financial Advisors,7,6,6,5,4,7,10,0,5
Insurance Underwriters,6,5,5,6,6,6,10,6,8
Financial Examiners,6,6,6,6,4,8,10,6,2
Credit Counselors,7,6,5,8,4,7,6,0,10
Loan Officers,6,6,6,8,6,7,6,10,8
"Tax Examiners and Collectors, and Revenue Agents",6,5,4,4,5,4,0,8,7
Tax Preparers,4,4,4,6,4,4,6,10,8
Financial Quantitative Analysts,7,7,7,5,5,7,10,0,5
"Fraud Examiners, Investigators and Analysts",7,7,6,5,6,7,10,2,2
Computer Systems Analysts,7,7,7,4,5,6,2,0,10
Health Informatics Specialists,7,6,6,6,6,6,0,10,8
Information Security Analysts,6,8,6,5,7,7,2,10,8
Computer and Information Research Scientists,8,8,7,4,6,7,0,2,10
Computer Network Support Specialists,7,6,5,2,6,4,0,8,3
Computer User Support Specialists,7,7,6,7,6,6,6,2,2
Computer Network Architects,8,8,6,2,5,7,0,2,10
Telecommunications Engineering Specialists,7,6,5,3,6,4,0,8,3
Database Administrators,6,7,6,4,6,3,2,8,2
Database Architects,8,8,6,2,4,7,0,2,10
Data Warehousing Specialists,8,8,5,2,4,6,0,2,10
Network and Computer Systems Administrators,6,8,6,4,7,5,2,8,2
Computer Programmers,8,8,6,1,6,6,0,2,10
Software Quality Assurance Analysts and Testers,7,7,6,5,6,6,0,2,10
Web Developers,7,8,7,4,5,8,10,2,2
Video Game Designers,8,7,6,2,4,8,10,0,3
Web Administrators,8,8,7,4,6,7,0,2,10
Geographic Information Systems Technologists and Technicians,7,6,6,4,5,7,0,10,3
Document Management Specialists,6,5,4,4,5,3,0,8,3
Computer Systems Engineers/Architects,8,7,8,5,6,8,0,10,5
Information Technology Project Managers,8,7,7,3,3,8,0,10,3
Actuaries,6,7,6,4,5,6,2,0,10
Mathematicians,8,8,8,1,1,7,0,4,10
Operations Research Analysts,8,7,7,1,3,8,0,10,3
Statisticians,7,6,7,6,2,8,10,0,5
Biostatisticians,8,7,7,3,2,7,0,10,5
Business Intelligence Analysts,8,8,5,2,4,4,0,2,5
Clinical Data Managers,6,5,5,3,5,4,0,8,10
Bioinformatics Technicians,6,7,6,5,6,6,10,8,3
"Architects, Except Landscape and Naval",8,8,8,4,5,8,10,4,2
Landscape Architects,7,7,6,3,2,8,10,2,2
Cartographers and Photogrammetrists,7,6,4,3,4,6,0,10,3
Surveyors,5,5,4,7,4,6,6,10,3
Geodetic Surveyors,6,6,5,4,5,5,0,10,3
Aerospace Engineers,7,8,7,5,6,7,2,10,5
Agricultural Engineers,7,8,6,3,4,8,10,2,2
Bioengineers and Biomedical Engineers,7,8,7,6,6,8,10,0,3
Chemical Engineers,7,8,8,4,4,7,4,0,10
Civil Engineers,7,8,7,4,6,8,10,2,5
Transportation Engineers,7,7,7,4,7,6,0,4,8
Water/Wastewater Engineers,9,9,7,3,3,7,0,2,10
Computer Hardware Engineers,7,9,7,4,6,6,2,0,10
Electrical Engineers,8,8,7,5,5,7,0,2,10
"Electronics Engineers, Except Computer",7,8,8,3,6,7,4,2,2
Radio Frequency Identification Device Specialists,5,5,4,1,6,6,10,8,3
Environmental Engineers,8,8,8,5,5,6,0,2,5
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",7,8,6,6,7,6,2,8,2
Fire-Prevention and Protection Engineers,8,8,7,2,5,8,0,10,3
Industrial Engineers,7,8,8,4,6,8,10,4,2
Human Factors Engineers and Ergonomists,9,9,7,5,3,8,0,2,10
Validation Engineers,7,8,7,2,6,7,2,0,10
Manufacturing Engineers,6,8,7,3,7,6,2,8,10
Marine Engineers and Naval Architects,8,7,8,5,6,8,10,0,5
Materials Engineers,7,8,6,2,8,7,8,2,10
Mechanical Engineers,7,7,8,6,6,7,4,0,10
Fuel Cell Engineers,8,8,6,2,3,8,0,10,3
Automotive Engineers,9,9,8,2,3,7,0,2,5
"Mining and Geological Engineers, Including Mining Safety Engineers",7,9,7,4,8,7,2,8,10
Nuclear Engineers,8,7,8,1,7,6,4,0,8
Petroleum Engineers,7,8,7,4,6,8,10,2,2
"Energy Engineers, Except Wind and Solar",7,8,7,4,6,7,2,0,10
Mechatronics Engineers,8,7,8,4,4,7,0,4,10
Microsystems Engineers,8,8,7,3,6,8,0,10,3
Photonics Engineers,8,7,7,4,3,8,0,10,3
Robotics Engineers,7,8,7,3,6,8,10,2,2
Nanosystems Engineers,9,9,8,2,3,8,0,2,10
Wind Energy Engineers,9,8,7,2,3,7,0,2,10
Solar Energy Systems Engineers,8,8,7,2,3,7,0,2,10
Architectural and Civil Drafters,5,5,5,3,5,3,8,2,2
Electrical and Electronics Drafters,5,5,4,4,6,4,8,6,2
Mechanical Drafters,6,6,4,5,7,5,8,2,2
Aerospace Engineering and Operations Technologists and Technicians,7,8,6,3,8,5,8,2,2
Civil Engineering Technologists and Technicians,6,5,4,4,7,6,8,10,2
Electrical and Electronic Engineering Technologists and Technicians,6,6,5,5,6,5,8,2,10
Electro-Mechanical and Mechatronics Technologists and Technicians,4,5,4,7,6,4,6,8,3
Robotics Technicians,7,8,7,4,8,6,8,2,2
Environmental Engineering Technologists and Technicians,6,6,4,4,8,5,8,2,2
Industrial Engineering Technologists and Technicians,6,5,5,4,7,5,8,0,10
Nanotechnology Engineering Technologists and Technicians,7,6,6,1,5,3,0,8,3
Mechanical Engineering Technologists and Technicians,4,6,4,4,7,3,8,2,7
Automotive Engineering Technicians,8,6,5,2,6,6,0,2,8
Non-Destructive Testing Specialists,5,5,3,2,6,5,8,10,3
Photonics Technicians,6,6,6,5,6,5,0,8,7
Surveying and Mapping Technicians,4,4,3,4,6,5,8,10,7
Animal Scientists,7,6,7,3,2,7,0,10,5
Food Scientists and Technologists,7,6,6,5,6,5,0,8,5
Soil and Plant Scientists,8,7,7,4,3,8,0,10,5
Biochemists and Biophysicists,8,8,8,4,4,6,4,0,3
Microbiologists,7,6,7,5,4,6,4,0,10
Zoologists and Wildlife Biologists,7,7,7,2,2,4,0,4,3
Bioinformatics Scientists,7,6,7,3,4,7,10,0,5
Molecular and Cellular Biologists,8,9,8,2,5,8,10,2,2
Geneticists,8,7,8,4,4,8,4,0,10
Biologists,8,6,7,5,2,6,0,4,10
Conservation Scientists,7,7,6,8,3,6,6,2,10
Range Managers,6,8,5,4,4,6,2,10,2
Park Naturalists,6,6,5,6,2,4,6,2,2
Foresters,5,6,4,4,4,8,10,2,2
Epidemiologists,8,6,7,6,5,7,0,4,10
"Medical Scientists, Except Epidemiologists",8,8,8,5,3,8,0,4,10
Astronomers,8,8,8,1,1,8,0,10,5
Physicists,8,9,9,2,4,8,4,2,2
Atmospheric and Space Scientists,7,7,6,6,2,6,0,10,7
Chemists,8,7,7,2,6,7,0,10,3
Materials Scientists,8,7,7,4,4,7,0,10,5
"Environmental Scientists and Specialists, Including Health",7,6,7,4,4,6,0,10,5
Climate Change Policy Analysts,8,6,7,6,2,7,0,10,5
Environmental Restoration Planners,8,7,7,6,2,8,0,10,5
Industrial Ecologists,8,7,6,4,3,7,0,10,3
"Geoscientists, Except Hydrologists and Geographers",7,8,7,3,1,8,10,0,5
Hydrologists,7,7,5,1,2,5,0,2,10
Remote Sensing Scientists and Technologists,8,7,7,4,5,7,0,10,5
Economists,7,8,7,1,3,7,2,10,2
Environmental Economists,9,8,7,4,2,8,0,10,3
Survey Researchers,6,4,6,6,3,7,10,0,5
Industrial-Organizational Psychologists,8,9,6,8,6,8,2,6,2
Clinical and Counseling Psychologists,8,8,7,10,3,8,6,10,2
School Psychologists,7,7,7,10,4,8,6,10,2
Sociologists,8,7,7,3,2,8,0,10,5
Urban and Regional Planners,7,7,6,7,4,5,6,0,3
Anthropologists and Archeologists,8,7,7,6,2,7,0,10,3
Geographers,8,8,6,2,4,8,10,0,3
Historians,7,6,7,6,2,6,0,10,5
Political Scientists,8,8,7,3,1,6,0,2,5
Transportation Planners,7,6,6,5,4,6,0,10,3
Agricultural Technicians,3,4,3,6,6,3,6,8,3
Precision Agriculture Technicians,6,7,4,2,5,6,2,10,8
Food Science Technicians,5,4,4,6,8,4,8,6,2
Biological Technicians,6,5,3,3,5,4,8,0,3
Chemical Technicians,4,4,3,5,7,4,8,6,3
"Environmental Science and Protection Technicians, Including Health",6,4,5,5,6,4,0,8,7
"Geological Technicians, Except Hydrologic Technicians",5,5,4,5,6,5,8,6,10
Nuclear Technicians,4,5,3,4,9,2,8,2,7
Nuclear Monitoring Technicians,6,6,4,6,10,6,8,6,10
Social Science Research Assistants,5,5,3,4,2,6,10,0,3
Forest and Conservation Technicians,6,6,3,5,5,6,10,0,3
Forensic Science Technicians,5,5,6,2,7,4,8,4,10
Quality Control Analysts,4,5,5,4,6,5,8,10,3
Remote Sensing Technicians,6,6,4,4,7,5,8,2,2
Occupational Health and Safety Specialists,7,7,6,6,8,6,8,2,2
Occupational Health and Safety Technicians,6,5,4,8,7,5,6,8,2
Substance Abuse and Behavioral Disorder Counselors,7,6,7,9,4,6,6,0,10
"Educational, Guidance, and Career Counselors and Advisors",7,7,6,10,4,6,6,0,3
Marriage and Family Therapists,8,8,7,10,2,8,6,10,2
Mental Health Counselors,7,5,6,9,2,7,6,0,10
Rehabilitation Counselors,8,5,5,8,6,4,6,0,8
"Child, Family, and School Social Workers",8,7,4,9,6,7,6,0,10
Healthcare Social Workers,8,8,6,9,6,8,6,0,10
Mental Health and Substance Abuse Social Workers,8,6,5,8,6,7,6,0,10
Health Education Specialists,7,6,5,10,1,7,6,10,2
Probation Officers and Correctional Treatment Specialists,5,6,4,7,8,4,8,6,3
Social and Human Service Assistants,4,4,4,8,6,4,6,8,10
Community Health Workers,8,6,6,10,5,8,6,0,10
Clergy,9,7,7,9,3,9,0,6,10
"Directors, Religious Activities and Education",8,7,4,10,4,7,6,0,10
Lawyers,8,9,9,4,5,8,4,0,10
Judicial Law Clerks,7,6,4,4,5,2,0,2,8
"Administrative Law Judges, Adjudicators, and Hearing Officers",8,8,8,6,5,7,4,0,3
"Arbitrators, Mediators, and Conciliators",7,6,7,9,3,7,6,0,10
"Judges, Magistrate Judges, and Magistrates",9,10,9,9,5,10,10,6,2
Paralegals and Legal Assistants,5,6,4,6,5,2,6,8,3
"Title Examiners, Abstractors, and Searchers",5,5,3,4,6,4,8,0,3
"Business Teachers, Postsecondary",8,7,7,7,2,8,0,10,5
"Computer Science Teachers, Postsecondary",7,7,7,6,3,7,0,10,3
"Mathematical Science Teachers, Postsecondary",8,7,7,6,2,8,0,10,5
"Architecture Teachers, Postsecondary",8,8,7,8,2,8,0,10,7
"Engineering Teachers, Postsecondary",8,7,8,5,1,8,0,10,5
"Agricultural Sciences Teachers, Postsecondary",8,9,8,6,4,8,2,0,10
"Biological Science Teachers, Postsecondary",8,9,8,6,4,8,2,0,10
"Forestry and Conservation Science Teachers, Postsecondary",7,8,7,4,3,7,2,0,10
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",8,8,7,4,2,8,0,10,5
"Chemistry Teachers, Postsecondary",8,9,7,6,3,8,0,2,10
"Environmental Science Teachers, Postsecondary",8,7,7,4,2,7,0,10,5
"Physics Teachers, Postsecondary",8,8,8,6,4,7,0,4,3
"Anthropology and Archeology Teachers, Postsecondary",8,9,7,5,3,9,10,2,2
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",8,7,7,8,2,8,0,6,10
"Economics Teachers, Postsecondary",8,7,7,4,2,8,0,10,5
"Geography Teachers, Postsecondary",7,7,7,6,2,8,10,0,5
"Political Science Teachers, Postsecondary",8,9,8,6,4,8,2,0,10
"Psychology Teachers, Postsecondary",8,8,7,7,4,7,0,10,5
"Sociology Teachers, Postsecondary",8,7,7,7,2,8,0,10,7
"Health Specialties Teachers, Postsecondary",8,9,8,6,3,8,2,0,10
"Nursing Instructors and Teachers, Postsecondary",6,8,6,8,4,7,6,2,10
"Education Teachers, Postsecondary",8,8,7,8,3,8,6,10,2
"Library Science Teachers, Postsecondary",8,7,7,6,2,8,0,10,3
"Criminal Justice and Law Enforcement Teachers, Postsecondary",8,8,7,5,3,8,10,0,3
"Law Teachers, Postsecondary",8,9,8,6,3,8,0,10,3
"Social Work Teachers, Postsecondary",8,8,7,8,4,7,6,0,10
"Art, Drama, and Music Teachers, Postsecondary",8,9,6,8,6,8,10,6,3
"Communications Teachers, Postsecondary",8,6,7,8,2,8,6,10,2
"English Language and Literature Teachers, Postsecondary",8,9,7,9,3,8,6,0,3
"Foreign Language and Literature Teachers, Postsecondary",7,7,6,8,2,8,10,6,2
"History Teachers, Postsecondary",8,8,7,6,3,8,0,10,3
"Philosophy and Religion Teachers, Postsecondary",8,7,7,7,1,8,0,10,5
"Family and Consumer Sciences Teachers, Postsecondary",8,8,6,8,4,8,0,6,10
"Recreation and Fitness Studies Teachers, Postsecondary",8,7,7,8,2,8,6,0,10
"Career/Technical Education Teachers, Postsecondary",7,6,6,6,2,6,0,10,7
"Preschool Teachers, Except Special Education",6,4,3,9,4,5,6,0,10
"Kindergarten Teachers, Except Special Education",7,7,6,9,4,6,6,0,10
"Elementary School Teachers, Except Special Education",8,7,6,9,6,7,6,0,10
"Middle School Teachers, Except Special and Career/Technical Education",7,6,5,9,3,7,6,10,2
"Career/Technical Education Teachers, Middle School",7,6,6,8,5,7,6,0,10
"Secondary School Teachers, Except Special and Career/Technical Education",8,8,5,10,6,6,6,0,3
"Career/Technical Education Teachers, Secondary School",7,7,6,8,5,7,6,0,10
"Special Education Teachers, Preschool",8,5,6,10,4,6,6,0,10
"Special Education Teachers, Middle School",7,8,4,9,4,6,6,2,2
"Special Education Teachers, Secondary School",8,7,6,10,4,7,6,0,10
Adapted Physical Education Specialists,8,5,5,10,6,6,6,0,10
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",7,6,6,8,4,6,6,10,2
Self-Enrichment Teachers,6,5,6,8,2,8,6,10,2
Tutors,7,5,4,8,1,8,6,10,2
Archivists,6,4,6,5,2,6,10,0,5
Curators,8,8,7,4,3,8,10,0,3
Museum Technicians and Conservators,6,6,4,6,5,5,0,6,10
Librarians and Media Collections Specialists,6,8,4,8,5,7,6,2,10
Library Technicians,3,5,2,7,6,4,6,8,3
Farm and Home Management Educators,7,5,6,8,2,7,6,10,2
Instructional Coordinators,8,7,6,8,2,8,6,10,2
"Teaching Assistants, Postsecondary",7,4,4,4,5,5,0,10,8
Art Directors,8,9,7,4,3,9,10,0,3
Craft Artists,8,4,3,0,1,7,0,10,3
"Fine Artists, Including Painters, Sculptors, and Illustrators",8,6,6,4,1,8,10,0,3
Special Effects Artists and Animators,7,7,6,5,3,8,10,0,3
Commercial and Industrial Designers,7,6,6,6,5,6,0,6,10
Fashion Designers,8,8,6,4,1,7,0,10,3
Floral Designers,7,3,3,6,2,6,0,6,10
Graphic Designers,8,6,6,4,4,7,0,10,5
Interior Designers,8,6,6,6,1,8,0,10,7
Merchandise Displayers and Window Trimmers,5,4,3,6,4,6,6,10,2
Set and Exhibit Designers,8,6,4,3,4,6,0,10,3
Actors,8,5,6,8,1,6,6,0,10
Producers and Directors,8,7,8,7,2,9,10,4,2
Media Programming Directors,8,8,8,6,4,8,4,0,10
Talent Directors,7,7,7,7,2,6,0,6,5
Media Technical Directors/Managers,6,7,7,6,7,8,10,8,3
Athletes and Sports Competitors,8,5,8,8,6,5,0,4,7
Coaches and Scouts,8,5,5,8,4,8,0,6,10
"Umpires, Referees, and Other Sports Officials",8,4,5,4,4,5,0,10,5
Dancers,7,5,5,6,2,4,0,6,3
Choreographers,8,5,7,8,1,8,0,10,7
Music Directors and Composers,9,6,7,6,3,7,0,10,5
Musicians and Singers,7,5,6,8,1,3,6,0,5
Broadcast Announcers and Radio Disc Jockeys,7,5,7,5,6,6,0,4,10
"News Analysts, Reporters, and Journalists",8,6,8,6,4,7,0,4,10
Public Relations Specialists,8,8,6,7,6,8,10,0,3
Editors,7,6,7,5,4,8,10,0,5
Technical Writers,6,6,4,2,4,6,10,2,2
Writers and Authors,7,5,4,4,5,4,0,8,3
"Poets, Lyricists and Creative Writers",8,7,7,2,1,8,0,10,5
Interpreters and Translators,4,5,5,7,4,4,6,2,5
Court Reporters and Simultaneous Captioners,5,4,3,5,4,4,6,8,2
Audio and Video Technicians,3,4,2,5,5,5,10,8,7
Broadcast Technicians,5,4,3,3,5,4,8,0,10
Sound Engineering Technicians,7,7,6,8,2,8,10,6,2
Photographers,6,4,4,6,2,6,10,6,2
"Camera Operators, Television, Video, and Film",4,5,5,5,6,5,8,6,10
Film and Video Editors,7,6,7,2,2,7,10,0,5
Chiropractors,8,8,7,9,4,9,6,10,2
"Dentists, General",8,9,8,8,3,9,10,0,7
Oral and Maxillofacial Surgeons,8,9,8,8,6,9,10,0,5
Orthodontists,8,9,8,8,4,9,10,0,5
Prosthodontists,8,7,7,8,6,8,10,6,2
Dietitians and Nutritionists,7,6,7,8,4,8,6,10,2
Optometrists,8,9,8,8,6,8,2,0,5
Pharmacists,6,6,8,6,7,6,4,8,7
Physician Assistants,7,8,6,8,7,6,6,2,2
Anesthesiologist Assistants,6,5,5,6,7,4,8,6,2
Podiatrists,8,8,8,8,6,8,0,10,7
Occupational Therapists,8,9,6,10,6,8,6,0,3
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",7,6,6,8,5,6,6,10,2
Physical Therapists,8,8,8,9,6,7,6,0,5
Radiation Therapists,7,7,6,9,9,6,6,8,2
Recreational Therapists,7,5,5,10,4,6,6,0,10
Respiratory Therapists,6,6,6,8,8,4,6,8,5
Speech-Language Pathologists,8,7,6,9,4,7,6,0,10
Exercise Physiologists,8,6,7,9,3,8,6,0,10
Art Therapists,8,6,6,10,4,7,6,0,10
Music Therapists,8,6,6,10,3,8,6,0,10
Veterinarians,10,9,8,8,6,9,0,10,5
Registered Nurses,7,7,6,9,8,7,6,8,2
Acute Care Nurses,8,7,6,9,8,6,6,8,2
Advanced Practice Psychiatric Nurses,6,8,6,8,6,4,6,2,8
Critical Care Nurses,8,7,7,9,8,8,6,8,2
Clinical Nurse Specialists,7,7,7,7,8,6,8,6,2
Nurse Anesthetists,6,5,5,6,7,4,8,6,2
Nurse Midwives,8,7,7,9,4,7,6,0,10
Nurse Practitioners,8,8,7,9,8,8,6,0,10
Audiologists,8,8,7,9,6,6,6,0,3
Anesthesiologists,8,8,8,8,8,8,0,6,10
Dermatologists,8,8,8,8,6,8,0,10,5
Family Medicine Physicians,9,9,9,9,6,9,6,0,5
General Internal Medicine Physicians,9,9,9,9,7,9,0,4,10
Neurologists,9,9,9,7,7,8,0,4,3
Obstetricians and Gynecologists,9,9,9,8,6,9,0,4,10
"Pediatricians, General",9,9,9,9,6,9,0,4,7
"Physicians, Pathologists",8,7,7,5,6,8,0,10,5
Psychiatrists,9,9,9,9,5,9,0,10,5
Radiologists,8,7,7,6,7,7,0,4,10
Allergists and Immunologists,8,7,9,6,6,9,4,10,2
Hospitalists,9,8,8,7,8,8,0,4,10
Urologists,8,9,8,7,7,7,0,4,3
Physical Medicine and Rehabilitation Physicians,9,9,9,7,5,8,0,4,10
Preventive Medicine Physicians,8,8,9,8,6,8,4,0,10
Sports Medicine Physicians,9,9,9,7,6,8,0,4,3
"Ophthalmologists, Except Pediatric",8,8,8,7,6,8,0,10,5
Acupuncturists,7,6,5,6,4,6,0,10,7
Dental Hygienists,6,6,4,9,6,6,6,8,10
Naturopathic Physicians,8,7,6,9,6,8,6,0,10
Orthoptists,7,8,5,7,5,8,10,2,7
Medical and Clinical Laboratory Technologists,6,5,4,5,8,6,8,10,2
Cytogenetic Technologists,8,6,6,2,4,7,0,10,5
Cytotechnologists,8,6,7,3,5,6,0,10,5
Medical and Clinical Laboratory Technicians,3,4,3,5,7,4,8,6,10
Cardiovascular Technologists and Technicians,6,6,5,8,8,6,6,8,10
Diagnostic Medical Sonographers,7,7,6,8,8,6,6,8,2
Nuclear Medicine Technologists,7,8,6,9,8,6,6,8,3
Radiologic Technologists and Technicians,5,6,4,8,7,6,6,8,10
Magnetic Resonance Imaging Technologists,6,6,4,4,5,2,0,2,8
Dietetic Technicians,3,3,2,7,7,2,6,8,10
Pharmacy Technicians,3,3,3,7,6,2,6,8,2
Psychiatric Technicians,4,5,3,8,7,4,6,8,10
Surgical Technologists,6,6,5,8,8,4,8,6,2
Veterinary Technologists and Technicians,4,4,4,6,6,4,6,8,3
Ophthalmic Medical Technicians,5,4,4,6,6,3,6,8,2
Licensed Practical and Licensed Vocational Nurses,7,6,5,9,8,6,6,8,2
"Opticians, Dispensing",4,5,4,6,5,7,10,6,8
Orthotists and Prosthetists,8,8,6,8,7,8,10,6,2
Hearing Aid Specialists,6,7,4,8,5,6,6,2,2
Neurodiagnostic Technologists,5,5,4,6,7,5,8,6,10
Ophthalmic Medical Technologists,7,6,6,6,4,4,0,6,3
Patient Representatives,6,6,4,9,6,5,6,8,2
Athletic Trainers,8,7,6,8,4,8,6,0,10
Genetic Counselors,7,6,7,8,5,6,6,0,5
Surgical Assistants,6,5,6,8,5,2,6,0,8
Midwives,8,5,6,9,3,7,6,0,10
Home Health Aides,2,2,2,5,4,2,6,8,10
Personal Care Aides,5,3,3,8,4,3,6,8,2
Nursing Assistants,3,3,2,8,6,1,6,8,3
Orderlies,2,3,2,5,6,1,8,6,3
Psychiatric Aides,5,5,3,8,7,6,6,8,10
Occupational Therapy Assistants,7,7,3,8,6,5,6,0,3
Occupational Therapy Aides,6,5,3,6,6,6,6,8,2
Physical Therapist Assistants,6,7,4,9,6,6,6,8,3
Physical Therapist Aides,6,4,3,9,6,4,6,8,2
Massage Therapists,4,4,4,7,2,6,6,10,2
Dental Assistants,4,5,3,8,8,4,6,8,3
Medical Assistants,6,5,4,8,8,3,6,8,2
Medical Equipment Preparers,3,3,3,6,7,2,8,6,3
Medical Transcriptionists,3,2,3,4,6,2,8,6,2
Pharmacy Aides,3,2,3,6,6,3,6,8,10
Veterinary Assistants and Laboratory Animal Caretakers,2,2,2,7,6,1,6,8,3
Phlebotomists,5,4,3,4,6,2,8,0,7
Speech-Language Pathology Assistants,6,5,4,6,6,4,6,8,2
Endoscopy Technicians,4,4,4,6,8,2,8,6,2
First-Line Supervisors of Correctional Officers,6,6,5,5,8,7,8,10,2
First-Line Supervisors of Police and Detectives,7,8,8,7,6,9,10,4,3
First-Line Supervisors of Firefighting and Prevention Workers,7,8,7,6,7,8,10,8,2
Firefighters,8,6,6,8,8,6,8,6,2
