Title,Getting Information,"Monitoring Processes, Materials, or Surroundings","Identifying Objects, Actions, and Events","Inspecting Equipment, Structures, or Materials","Estimating the Quantifiable Characteristics of Products, Events, or Information","Judging the Qualities of Objects, Services, or People",Processing Information,Evaluating Information to Determine Compliance with Standards,Analyzing Data or Information,Making Decisions and Solving Problems,Thinking Creatively,Updating and Using Relevant Knowledge,Developing Objectives and Strategies,Scheduling Work and Activities,"Organizing, Planning, and Prioritizing Work",Performing General Physical Activities,Handling and Moving Objects,Controlling Machines and Processes,"Operating Vehicles, Mechanized Devices, or Equipment",Working with Computers,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Electronic Equipment,Documenting/Recording Information,Interpreting the Meaning of Information for Others,"Communicating with Supervisors, Peers, or Subordinates",Communicating with People Outside the Organization,Establishing and Maintaining Interpersonal Relationships,Assisting and Caring for Others,Selling or Influencing Others,Resolving Conflicts and Negotiating with Others,Performing for or Working Directly with the Public,Coordinating the Work and Activities of Others,Developing and Building Teams,Training and Teaching Others,"Guiding, Directing, and Motivating Subordinates",Coaching and Developing Others,Providing Consultation and Advice to Others,Performing Administrative Activities,Staffing Organizational Units,Monitoring and Controlling Resources
Supply Chain Managers,18.737,13.52,15.0255,8.277,13.377,14.661,15.167800000000002,14.28,20.580000000000002,22.732200000000002,18.018,19.05,18.999499999999998,16.9312,22.194,3.33,5.084,3.8,3.192,16.4025,6.2059,1.8468,1.7897999999999998,12.8778,14.48,23.783399999999997,18.564,24.2764,5.443200000000001,13.9496,22.48,6.412,19.493,21.8665,16.644,23.2668,20.76,19.0473,11.239500000000001,17.3257,20.241
Compensation and Benefits Managers,23.0789,9.4978,11.7453,1.0868,4.1664,10.44,18.0262,19.505000000000003,18.4465,20.988000000000003,15.264999999999999,22.2732,17.92,15.400000000000002,22.113,1.0508,1.48,1.332,0.052500000000000005,16.4973,0.0,0.0,0.10500000000000001,15.0495,14.320599999999999,25.580800000000004,20.1204,24.054899999999996,8.129999999999999,9.4668,19.788999999999998,1.6871999999999998,14.8519,13.77,12.8778,17.1389,16.485,18.503999999999998,17.171699999999998,8.1592,15.215
Human Resources Managers,23.415,10.4784,17.64,2.4564,8.7616,21.575999999999997,17.765,21.923199999999998,19.5432,24.57,15.8911,23.7796,18.9318,17.098200000000002,23.9775,1.6432000000000002,3.1325000000000003,1.975,1.0082,11.750399999999999,0.5566,0.19040000000000004,0.525,16.4307,18.615,29.8011,18.1125,27.93,13.0536,14.365,31.1802,9.0675,19.5132,20.3943,19.7348,22.6525,22.5225,26.3432,16.6896,27.0825,16.946
Training and Development Managers,23.6664,16.6698,18.244100000000003,6.2496,9.205599999999999,16.194200000000002,14.8985,17.401999999999997,17.2368,20.1539,19.3112,22.366,17.76,19.5228,22.961200000000005,3.5189999999999997,5.994000000000001,2.6085,1.2358,15.634199999999998,2.8779000000000003,0.5856,0.7938000000000001,13.0869,17.763199999999998,27.713699999999996,16.133,28.810799999999997,8.664,15.429799999999998,19.5195,7.422599999999999,20.48,20.382,28.138499999999997,22.972299999999997,25.7418,23.0308,13.2385,14.859599999999999,15.0328
"Farmers, Ranchers, and Other Agricultural Managers",16.8826,17.2236,15.470999999999998,13.688400000000001,12.001999999999999,12.0983,14.0492,12.0006,15.059000000000001,21.7513,18.096,17.39,15.656199999999998,15.7593,22.048000000000002,14.136999999999999,16.6213,14.179500000000003,14.1312,8.8683,4.7742,11.936,7.4504,12.4384,10.0464,17.6688,14.2464,17.1234,7.7490000000000006,11.3864,14.4072,9.8404,16.6705,10.1736,12.5628,14.642199999999999,12.927599999999998,10.288499999999999,11.187,11.1267,18.4415
Construction Managers,23.275000000000002,20.8,19.89,18.224999999999998,16.2345,19.6425,17.6235,20.825000000000003,17.775000000000002,23.14,12.73,18.1875,15.0,28.365000000000002,27.45,7.375,6.2700000000000005,4.7250000000000005,5.76,16.91,10.584999999999999,3.33,1.9032,16.59,13.6675,24.15,20.9575,21.06,8.959999999999999,10.649999999999999,26.55,8.64,29.8025,23.8165,12.674999999999999,18.24,16.0425,12.81,15.1475,15.7975,21.512999999999998
"Education and Childcare Administrators, Preschool and Daycare",15.444500000000001,12.0574,10.99,8.2472,8.5039,14.212,9.857099999999999,17.469900000000003,7.363999999999999,18.319200000000002,17.0704,15.7779,12.638,16.3296,18.5856,8.8324,7.949999999999999,1.7472000000000003,1.5045,11.923799999999998,1.3064,0.6413,1.537,13.1712,9.2648,21.715,20.335000000000004,22.7758,18.532400000000003,10.3934,19.6664,18.982999999999997,17.673199999999998,15.01,19.7508,18.1968,18.8652,14.442000000000002,16.9944,14.2443,16.256400000000003
"Education Administrators, Kindergarten through Secondary",20.3546,18.355600000000003,17.216100000000004,8.894599999999999,10.059500000000002,20.2464,19.256,20.3796,21.5215,25.4011,19.12,18.6732,19.8075,22.1328,23.936000000000003,6.2436,4.9153,2.9172000000000002,1.9941999999999998,12.079600000000001,1.7384,0.8978000000000002,1.3311,15.4349,15.9176,25.668,20.156399999999998,27.989599999999996,17.958,11.165,23.816399999999998,17.7954,21.7728,21.916999999999998,21.869100000000003,23.9564,24.824400000000004,20.474999999999998,20.791999999999998,20.0928,18.5808
"Education Administrators, Postsecondary",21.4671,16.0815,21.248700000000003,2.9646000000000003,10.767199999999999,18.6138,18.5164,20.3496,19.723499999999998,25.769800000000004,19.3581,21.36,19.311,16.0728,25.7635,2.1648,1.216,0.5828,0.5903999999999999,11.716,0.20520000000000002,0.3276,0.5903999999999999,12.1688,17.1649,24.909000000000002,18.0905,24.7401,7.950799999999999,11.6235,18.9696,9.478499999999999,18.6468,17.7408,14.6354,19.3356,19.304,15.743799999999998,17.3445,12.979199999999999,11.950899999999999
Architectural and Engineering Managers,25.1163,17.897599999999997,21.4109,13.5375,16.5242,14.8512,21.546,24.4956,16.594199999999997,25.6054,21.859599999999997,21.9648,9.941500000000001,18.4621,23.171200000000002,4.1128,4.0832,5.6064,3.264,18.928,23.3712,2.6134,2.945,15.6078,15.89,23.436000000000003,24.7194,18.5166,5.5221,10.836,16.558,6.417199999999999,26.253499999999995,15.292800000000002,18.4122,19.4682,19.7104,11.1452,7.5481,9.4105,11.218499999999999
Biofuels/Biodiesel Technology and Product Development Managers,23.303100000000004,20.9304,22.113,13.5548,17.5871,17.8332,25.358400000000003,15.9588,25.944799999999997,24.0768,22.3965,22.740399999999998,18.4171,15.639199999999999,20.366500000000002,8.6858,8.0135,12.8248,3.2218,19.5534,9.324,7.343999999999999,9.5821,18.2054,20.552999999999997,23.0692,16.368199999999998,17.7755,6.630599999999999,10.2459,11.115,4.59,15.9744,17.299200000000003,12.2796,13.974,11.4563,18.338,7.6443,8.0754,14.740199999999998
Food Service Managers,11.3652,10.7184,12.349599999999999,7.951299999999999,5.211,8.525,7.1248,7.983300000000001,7.178599999999999,7.347,5.375,9.137400000000001,4.7092,8.661999999999999,12.458400000000001,8.908199999999999,13.4078,5.609699999999999,1.65,10.613399999999999,0.9842000000000001,4.276800000000001,2.8615999999999997,7.808400000000001,4.992,13.067,9.3195,13.6448,8.344,7.9722,10.3986,15.162,12.143199999999998,9.177000000000001,10.5547,10.08,10.7912,5.9708,8.7591,5.0049,12.802
Gambling Managers,18.5198,14.782499999999999,15.7746,7.529399999999999,8.2636,11.3565,14.527,17.3472,13.652800000000001,16.2085,11.3176,13.702,11.9756,15.1158,16.109,4.491899999999999,6.739,6.668100000000001,1.4687999999999999,12.555,2.1838,2.6441000000000003,3.1569999999999996,11.9423,8.0919,20.357999999999997,8.1435,18.5852,6.475,7.4752,19.894,20.2176,14.878,12.144599999999999,14.014000000000001,15.64,16.5888,11.780999999999999,10.496,14.994599999999998,12.881599999999999
Lodging Managers,19.088800000000003,12.558399999999999,20.154399999999995,7.2072,4.2863999999999995,10.2718,13.2076,11.62,12.876000000000001,22.119,16.4772,12.924,15.7102,17.9784,19.078500000000002,6.603299999999999,8.8844,6.274399999999999,4.8069999999999995,17.592399999999998,1.8144000000000002,3.6365999999999996,2.5756,11.5934,8.6267,21.7689,19.552000000000003,21.1968,15.81,15.5014,20.6733,20.6336,17.598000000000003,14.0621,19.0047,20.828500000000002,18.049799999999998,14.9557,16.442800000000002,19.521600000000003,11.786800000000001
Medical and Health Services Managers,22.713600000000003,21.4131,17.9329,6.070600000000001,10.335,16.680400000000002,22.8228,22.382199999999997,22.279600000000002,23.4347,18.0684,23.587200000000003,17.3844,21.0672,24.1956,4.9725,4.547199999999999,5.0718000000000005,1.8648,19.060799999999997,2.9946,1.8204,1.8297,18.1522,15.287700000000001,25.7428,17.248,24.6864,13.9122,10.100299999999999,22.935599999999997,12.3175,23.155200000000004,19.5925,21.2433,25.9116,25.38,21.6216,20.2,20.9898,20.75
Natural Sciences Managers,20.4754,24.090799999999998,24.265800000000002,12.2499,13.505600000000001,16.764000000000003,23.142,19.3116,23.0652,25.2358,18.2664,25.389,19.5696,19.650399999999998,27.0087,6.8112,6.9616,10.498,5.6244000000000005,14.1337,4.7174000000000005,4.34,4.1829,21.609,19.6652,25.718399999999995,19.9335,23.475200000000005,4.6964,8.12,11.2008,4.7515,20.6241,17.976699999999997,14.601299999999998,19.528599999999997,17.5406,15.1016,11.7304,15.659999999999998,17.2134
Clinical Research Coordinators,21.072,21.32,16.942200000000003,10.1022,8.2026,11.1618,16.3908,18.441599999999998,14.766000000000002,16.132,11.0802,14.0833,8.2082,16.922199999999997,25.6497,5.926200000000001,7.105,4.644,1.1059999999999999,16.8137,3.395,2.5883,3.136,20.4756,8.2992,19.2871,11.7062,19.9562,14.094,1.7120000000000002,6.269400000000001,10.976,12.209399999999999,6.3546,12.6732,5.514399999999999,10.17,8.0712,16.1934,1.7897999999999998,8.5722
Water Resource Specialists,25.498500000000003,17.7376,19.8404,8.469299999999999,16.1525,12.36,22.842,20.2,26.663,25.964999999999996,19.507900000000003,24.5376,20.957600000000003,19.3778,19.9786,4.72,2.9574000000000003,2.9929,3.1729999999999996,20.3252,12.2,2.3055,2.8574,17.7248,19.0385,20.72,20.6662,19.3214,4.9648,9.4752,12.748999999999999,11.525699999999999,17.82,16.3345,13.4078,14.715,16.301199999999998,17.6269,6.8100000000000005,7.625,9.555
Postmasters and Mail Superintendents,20.067899999999998,15.205100000000002,16.239300000000004,9.376000000000001,9.8172,13.9104,15.356399999999997,16.0962,12.9551,20.328000000000003,12.981900000000001,14.266200000000001,14.439599999999999,19.0944,20.542500000000004,6.862800000000001,7.265700000000001,6.500899999999999,4.760999999999999,15.701400000000001,2.8992,2.5987999999999998,2.5383999999999998,13.8729,12.7464,23.6174,14.4872,19.870200000000004,8.319,10.846,23.7699,13.0854,21.3004,15.825,13.3588,22.2732,19.5721,14.6118,19.0854,16.7832,13.299
"Property, Real Estate, and Community Association Managers",20.24,10.827499999999999,11.100000000000001,9.920000000000002,6.838,12.025,14.782499999999999,13.248000000000001,13.475,22.796999999999997,13.065,19.2,13.6485,16.2425,22.072499999999998,3.3824999999999994,1.8199999999999998,1.6275000000000002,2.8350000000000004,14.07,1.47,1.9799999999999998,2.3939999999999997,10.447000000000001,9.322000000000001,21.315,18.45,21.995,6.885,11.625,19.728,13.065,21.165,15.0,15.01,19.355000000000004,15.885,15.2425,14.883,14.145,16.56
Social and Community Service Managers,20.6976,15.427999999999997,18.4274,5.2208,4.237,12.4254,14.371400000000001,15.4732,12.2496,17.901,15.441300000000002,19.5465,16.0792,17.0612,23.0692,4.2804,3.8015999999999996,1.2136,2.8122000000000003,15.8625,0.9295,0.3927,0.7150000000000001,16.6272,12.5252,24.180000000000003,19.152600000000003,22.6737,18.847,4.7897,18.3708,15.433600000000002,17.2767,15.190399999999999,13.6488,17.0544,13.1472,12.73,16.8075,9.056000000000001,6.0
Emergency Management Directors,21.849500000000003,17.9786,18.92,12.0336,12.9996,15.575000000000001,17.8308,16.8021,16.776500000000002,25.267200000000003,17.4105,21.0535,18.423,15.975,25.531200000000002,9.2411,9.1,6.0347,9.579,18.008999999999997,4.772200000000001,5.1448,5.839499999999999,19.6736,15.787399999999998,24.75,25.022199999999998,28.44,19.851,13.4078,20.733700000000002,21.9114,22.397399999999998,22.9474,19.89,22.976999999999997,18.985699999999998,18.985699999999998,17.214399999999998,16.478099999999998,21.1815
Funeral Home Managers,22.045900000000003,14.3112,16.887,7.808,4.7672,12.283,14.56,12.0376,7.4496,13.412799999999999,8.0868,11.803799999999999,6.028000000000001,16.8948,16.354,9.6048,16.3115,5.688,8.109,13.001999999999999,1.0010999999999999,3.3388999999999998,2.0374999999999996,16.769,10.872,15.9294,18.3845,16.8995,25.4515,15.0183,7.8705,24.645,19.2639,4.3676,11.3564,10.1664,11.9808,12.995999999999999,15.5125,7.061300000000001,8.433599999999998
Fitness and Wellness Coordinators,16.863,10.465200000000001,8.9936,10.36,6.3063,8.623999999999999,8.526399999999999,9.782,9.576,15.554,17.226,17.9784,12.8148,20.7174,22.22,16.8096,17.4592,4.4352,1.9824000000000002,11.6435,2.2663,3.6816,2.5343999999999998,10.032,6.364800000000001,22.8816,16.2487,22.7505,13.9113,10.5621,13.783000000000001,11.9024,16.4395,13.86,19.1844,20.034,21.199199999999998,15.987,13.9776,17.9256,12.589500000000001
Spa Managers,21.7175,20.7478,18.4704,11.6802,11.098200000000002,18.12,15.0822,17.7422,14.857000000000001,20.16,15.800600000000001,21.0532,12.8216,17.458,15.089799999999999,8.782200000000001,8.157499999999999,5.0944,1.7631999999999999,14.9455,1.9075000000000002,2.5594,1.4442,8.7309,8.7884,22.2066,14.061399999999999,21.6692,19.5363,15.8562,19.401,20.908100000000005,17.7241,16.3072,11.616,17.0488,18.8958,12.469000000000001,16.068,11.040000000000001,13.9347
Regulatory Affairs Managers,28.9614,17.834000000000003,20.148799999999998,4.9235,10.8192,12.6324,23.6742,24.924000000000003,21.947799999999997,25.2624,13.9392,26.402399999999997,19.902500000000003,16.2024,22.215600000000002,1.4787000000000001,2.8525,1.6206,0.4536,13.653500000000001,2.55,0.621,1.3392,21.889200000000002,22.1263,24.53,23.3289,23.045,3.4968,12.136800000000001,20.907600000000002,2.1216000000000004,20.4828,17.7485,15.4507,18.106199999999998,17.895899999999997,22.22,12.4944,13.780800000000001,12.9465
Compliance Managers,22.276799999999998,16.9728,20.3472,7.3308,10.3603,18.982999999999997,21.267,26.091899999999995,19.796000000000003,22.784000000000002,15.739600000000001,23.064300000000003,15.7875,17.6813,22.9689,3.2885999999999997,3.7411999999999996,4.176,4.471,18.2597,1.9250000000000003,1.5624,1.2728,21.4288,17.523699999999998,26.4492,18.950400000000005,22.9586,11.9652,7.315,19.04,12.0743,15.884,13.464,17.76,13.025699999999999,16.352,17.3696,17.712,5.2185,4.3811
Loss Prevention Managers,21.848399999999998,15.984800000000002,20.3943,10.8528,6.5268,14.9226,16.8462,17.753,17.419500000000003,23.409,14.636999999999999,16.560000000000002,16.5594,13.9104,21.708000000000002,9.0048,4.65,2.4072,4.2593,15.204,4.772200000000001,2.6550000000000002,3.8129999999999997,17.802,10.6605,24.2764,17.8,23.798400000000004,11.966,15.106499999999999,19.994799999999998,8.5593,14.283,14.8996,18.698400000000003,17.1535,18.486,16.2945,9.9735,10.7342,13.0815
Wind Energy Operations Managers,19.4464,21.8736,18.828400000000002,18.723300000000002,14.118,17.6952,16.0308,20.1994,16.5032,24.017000000000003,19.823700000000002,21.112,12.672699999999999,21.7242,24.580800000000004,22.7258,21.4032,21.966,14.246,15.753,16.1113,26.404700000000002,21.392699999999998,15.8912,12.1125,24.152800000000003,15.579999999999998,19.4544,14.0238,11.519200000000001,19.4432,11.2125,23.901100000000003,19.050199999999997,18.118699999999997,21.192600000000002,24.198000000000004,18.5244,14.914199999999997,17.672,18.0686
Wind Energy Development Managers,20.973399999999998,16.4934,18.414,11.792,16.1504,18.572400000000002,16.396800000000002,19.72,18.360400000000002,24.152800000000003,15.129200000000003,19.998,13.3848,18.549599999999998,24.676800000000004,6.5084,5.3704,2.1353,3.7815999999999996,11.8293,3.8805,2.6832000000000003,0.783,12.922,12.620700000000001,22.5765,26.395199999999996,21.84,4.3931,14.028,18.4124,16.91,22.351200000000002,17.9328,8.4677,11.543199999999999,8.544,14.5008,8.7292,5.7912,16.1674
Brownfield Redevelopment Specialists and Site Managers,23.849599999999995,14.805000000000001,17.0226,6.6024,13.2112,11.224,19.44,21.06,20.9657,24.0916,15.4224,19.039,16.262800000000002,18.8415,23.142599999999998,5.3572,4.743,2.52,3.9271,12.873999999999999,4.387,1.36,1.4805,15.9975,16.72,21.9888,24.7243,23.7016,4.2844999999999995,10.4104,18.1713,15.964200000000002,19.3545,15.382399999999999,8.3916,11.563,10.1283,15.12,9.8515,5.6462,15.8319
