Title,O*NET-SOC Code,Reading Comprehension - IM,Reading Comprehension - LV,Active Listening - IM,Active Listening - LV,Writing - IM,Writing - LV,Speaking - IM,Speaking - LV,Mathematics - IM,Mathematics - LV,Science - IM,Science - LV,Critical Thinking - IM,Critical Thinking - LV,Active Learning - IM,Active Learning- LV,Learning Strategies - IM,Learning Strategies- LV,Monitoring - IM,Monitoring - LV,Social Perceptiveness - IM,Social Perceptiveness - LV,Coordination - IM,Coordination - LV,Persuasion - IM,Persuasion - LV,Negotiation - IM,Negotiation - LV,Instructing - IM,Instructing - LV,Service Orientation - IM,Service Orientation - LV,Complex Problem Solving - IM,Complex Problem Solving - LV,Operations Analysis - IM,Operations Analysis - LV,Technology Design - IM,Technology Design - LV,Equipment Selection - IM,Equipment Selection - LV,Installation - IM,Installation - LV,Programming - IM,Programming - LV,Operations Monitoring - IM,Operations Monitoring - LV,Operation and Control - IM,Operation and Control  - LV,Equipment Maintenance - IM,Equipment Maintenance - LV,Troubleshooting - IM,Troubleshooting - LV,Repairing - IM,Repairing - LV,Quality Control Analysis - IM,Quality Control Analysis - LV,Judgment and Decision Making - IM,Judgment and Decision Making - LV,Systems Analysis - IM,Systems Analysis - LV,Systems Evaluation - IM,Systems Evaluation - LV,Time Management - IM,Time Management - LV,Management of Financial Resources - IM,Management of Financial Resources - LV,Management of Material Resources - IM,Management of Material Resources - LV,Management of Personnel Resources - IM,Management of Personnel Resources - LV
Investment Fund Managers,11-3031.03,4,4.25,4,4.12,3.62,3.88,3.88,4.12,3.38,3.62,1,0,4,4,3.75,3.88,2.88,3.12,3.5,4,3,3.38,3.12,3.12,3.12,3.5,3,3.5,3,2.88,2.88,3,3.75,3.88,2,1.62,1.88,1.38,1,0,1,0,1.75,1.12,1.88,1.5,1,0,1,0,1,0,1,0,1.5,0.75,3.88,4.25,3.38,3.75,3.25,3.75,3.25,3.88,2.75,3,2.25,2.12,2.88,3.38
Industrial Production Managers,11-3051.00,3.88,4,3.88,4,3.38,4,4,4,3.38,3.75,1.62,1.12,4,4,3.62,4,3.75,4,4,4.88,3.5,3.88,4,4,3.12,3.62,3.25,3.75,3.12,3.62,3,3.12,3.62,3.88,2.88,2.88,1.62,1.12,2.12,2,1,0,1.62,0.75,3.12,3.5,2.75,3.12,2,1.38,2.25,2.25,2.12,1.62,3.12,3.88,4,4.38,3.75,3.88,3.38,3.75,3.88,4.12,3.38,4,3.25,4,3.88,4.25
Quality Control Systems Managers,11-3051.01,4,4.12,3.88,4.12,3.88,4,3.88,4.12,3.12,3.25,2.25,2.25,3.75,4.12,3.62,4.12,3.12,3.38,3.88,4.5,3.25,3.75,3.75,3.88,3.25,3.5,3,3.12,3.25,3.62,3,3.25,3.75,4.12,2.75,3,2.12,1.62,2,1.38,1,0,1.88,1.25,3.25,3.5,2.88,3,1.88,1.5,2.75,2.75,1.75,1.12,4,4.12,4,4.12,3.62,3.88,3.75,4,3.5,3.75,2.75,3,2.75,2.75,3.25,3.5
Geothermal Production Managers,11-3051.02,3.88,4.25,3.62,3.62,3.62,3.75,3.88,4,3.25,3.75,2.38,2.5,4,3.88,3.5,3.25,3.25,3.38,3.88,4.38,3.5,3.62,3.75,3.62,3,3.38,3,3.38,3.25,3.5,2.88,3,3.62,3.62,2,2.38,2,1.88,2.25,2.62,1,0,1.88,1.25,3.25,3.5,2.88,2.88,2.5,2.75,2.88,3.12,2.75,3,3.12,2.88,3.75,3.62,3.25,3.62,3.25,3.75,3.62,3.88,3.25,3.75,3.12,3.25,3.62,3.88
Biofuels Production Managers,11-3051.03,3.88,4,3.75,3.88,3.5,3.5,3.62,4,3,3.25,3,3.5,3.88,3.88,3.25,3.62,3.38,3.5,3.75,3.88,3.38,3.75,3.62,4,3.12,3.38,3,3.25,3.25,3.62,3.25,3.25,3.38,3.75,2.12,2,1.88,1.5,1.25,0.38,1,0,2.12,1.62,3,3.5,3.12,3.38,1.5,0.75,2.25,2,1.12,0.12,2.62,3.12,3.5,3.88,3.25,3.5,3,3.38,3.5,3.75,3,3.12,2.75,3,3.88,3.62
Biomass Power Plant Managers,11-3051.04,4,3.75,3.88,3.5,3.5,3.62,4,3,3.25,3,3.5,3.88,3.88,3.25,3.62,3.38,3.5,3.75,3.88,3.38,3.75,3.62,4,3.12,3.38,3,3.25,3.25,3.62,3.25,3.25,3.38,3.75,2.12,2,1.88,1.5,1.25,0.38,1,0,2.12,1.62,3,3.5,3.12,3.38,1.5,0.75,2.25,2,1.12,0.12,2.62,3.12,3.5,3.88,3.25,3.5,3,3.38,3.5,3.75,3,3.12,2.75,3,3.88,3.62,3.88
Hydroelectric Production Managers,11-3051.06,3.75,3.88,3.5,3.5,3.62,4,3,3.25,3,3.5,3.88,3.88,3.25,3.62,3.38,3.5,3.75,3.88,3.38,3.75,3.62,4,3.12,3.38,3,3.25,3.25,3.62,3.25,3.25,3.38,3.75,2.12,2,1.88,1.5,1.25,0.38,1,0,2.12,1.62,3,3.5,3.12,3.38,1.5,0.75,2.25,2,1.12,0.12,2.62,3.12,3.5,3.88,3.25,3.5,3,3.38,3.5,3.75,3,3.12,2.75,3,3.88,3.62,3.88,4.25
Purchasing Managers,11-3061.00,3.88,4.25,3.88,3.88,3.12,3.75,4,4,3,3.25,2.5,2.5,4,4,3.12,3.38,3,3.12,3.88,4.62,3.25,3.62,3.75,4,3,3.25,2.88,2.88,3.25,3.5,2.75,2.75,3.75,3.75,2.12,2.12,1.62,0.75,2.12,2,1,0,1.62,0.88,3.38,3.88,3,3,2.38,2.75,3,3,2.25,2.75,3.12,3.25,3.75,3.88,3.12,3.75,3.12,3.75,3.62,3.75,3.12,3.62,3.12,3.62,3.75,4.12
"Transportation, Storage, and Distribution Managers",11-3071.00,3.88,4.12,4.12,4,3.5,3.88,4.12,4.12,3.25,3.5,3.25,3.25,3.75,4,3.62,3.62,3.62,3.75,3.88,3.75,3.25,3.62,3.5,3.75,3.38,3.5,3.25,3.62,3.38,3.88,3.38,3.38,3.62,3.75,2.12,2,1.88,1.38,2.12,1.88,1.25,0.38,2.12,1.38,3.38,3.62,3.25,3.25,2.75,2.62,2.75,3,2.38,2.75,3.25,3.38,3.88,3.88,3.38,3.38,3.38,3.5,3.75,3.75,3,3.38,3,3.38,3.75,3.75
Supply Chain Managers,11-3071.04,3.88,4,4,4,3.88,4,4,4,3.12,3.12,1,0,3.75,4,3.25,3.75,3,3.75,3.88,4,3.88,4,3.75,3.88,3.62,4.12,3.88,4,3.38,3.88,3.5,3.88,3.5,3.25,2.62,2.75,1.88,1.38,1,0,1,0,1.88,1.25,2,1.88,1,0,1,0,2,1.12,1,0,2.12,1.75,3.75,3.75,3.5,3.88,3.12,3.75,3.88,4,3.25,3.62,3.25,3.88,4,4
Compensation and Benefits Managers,11-3111.00,3.87,4,3.84,3.96,3.62,3.67,3.92,3.96,3.08,3.17,1.42,0.46,3.92,4.08,3.29,3.66,3.08,3.38,3.88,4.13,3.29,3.67,3.84,4,3.42,3.58,3.46,3.58,3.12,3.25,3.04,3.21,3.71,3.5,2.83,2.96,1.62,0.79,1.13,0.17,1,0,1.46,0.58,2.42,2.29,2.04,1.83,1,0,1.79,1,1.04,0.08,2.29,1.96,3.54,3.63,3.25,3.46,3.29,3.67,3.54,3.88,3.04,3.33,3,3.17,3.58,3.79
Human Resources Managers,11-3121.00,4,4,4,4,3.88,4,4,4,3,3,1.12,0.38,3.88,4,3.75,3.75,3,3.25,4,4.12,3.75,3.88,4,4,3.62,3.62,3.75,3.75,3.12,3.25,3.12,3.12,3.88,4,2.5,2.38,2.12,1.38,1,0,1,0,1.62,0.88,2.25,1.88,1,0,1,0,1.62,0.88,1,0,2,1.62,4,4,3.75,3.75,3.88,3.88,4,4,2.88,3,3.75,3.75,3.25,3.88
Training and Development Managers,11-3131.00,4,4.12,4,4.12,4,4.12,4,4.12,3,3.12,1,0,3.88,4,3.75,4,3,3.12,3.38,3.62,3.5,3.88,3.12,3.5,3,3.38,3.12,3.25,3,3.12,3.12,3.12,3.38,3.25,2.75,2.88,1.5,0.62,1,0,1,0,1.75,0.88,1.5,0.5,1,0,1,0,1,0,1,0,1.5,0.88,3.88,4,3.25,3.75,3.25,3.88,3.62,3.75,3.25,3.75,1.88,1.75,3.62,3.75
"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,3.46,3.75,3.58,3.67,3.17,3.59,3.87,3.75,2.71,2.83,2.88,2.88,3.88,3.87,3.29,3.42,3.04,3.13,3.79,3.71,3.33,3.38,3.5,3.63,3.25,3.37,3.25,3.37,3.21,3.21,2.87,2.91,3.42,3.25,2.37,2.42,1.75,1.04,2.21,1.96,1.08,0.08,1.63,0.71,3.13,3,2.87,2.75,2.13,2.21,2.38,2.21,2.08,1.88,2.96,2.87,3.75,3.59,3.08,3.21,3.16,3.25,3.63,3.58,2.88,3.21,2.83,3.25,3.5,3.5
Construction Managers,11-9021.00,3.75,4.12,3.88,4.12,3.25,3.88,3.88,4.12,3.25,3.62,1.88,1.75,3.75,4.12,3.62,3.88,3,3.12,3.88,4.25,3.38,3.62,4,4.12,3,3.75,3.62,3.88,3,3.38,3,2.88,3.75,4,3,3.5,1.62,0.75,1,0,1,0,1.5,0.5,2.88,3,1.88,1.75,1,0,2,2,1,0,3.12,3.12,3.75,4.25,3.12,3.62,3.12,3.88,3.88,4,3.25,4,3.12,3.88,4,4.25
"Education and Childcare Administrators, Preschool and Daycare",11-9031.00,4,4.12,4,4,3.75,4,4,4,2.88,2.88,1.5,0.75,4,4,3.5,3.88,3.62,3.88,4,4.12,3.88,3.88,4,4,3.38,3.5,3.62,3.62,3.88,3.88,3.88,4,3.88,3.5,1.88,1,1.62,0.75,1,0,1,0,1.5,0.62,1.75,1.5,1.5,0.62,1,0,1.88,0.88,1,0,2,1.75,3.88,3.88,3.12,3.12,3.12,3.38,3.75,3.88,3.12,3.25,3.12,3.12,3.75,4
"Education Administrators, Kindergarten through Secondary",11-9032.00,4.25,4.62,4.38,4.5,4.12,4.38,4.38,4.38,3.12,3.25,1.75,1.38,4.25,4.38,3.88,4.12,4.25,4.62,4,4.75,4.25,4.25,4,4.12,3.38,4,3.62,3.88,3.88,4.12,3.88,3.88,4,4.25,2.25,2.38,1.75,0.75,1.12,0.12,1,0,1.75,0.75,1.75,0.75,1.12,0.12,1,0,1.62,0.62,1,0,2.88,3,4.12,4.38,3.38,3.88,3.88,4.25,3.88,4.12,3.38,4,3.12,3.25,4,4.38
"Education Administrators, Postsecondary",11-9033.00,4.12,4.62,4,4.25,4,4.25,4,4.25,2.88,3.12,1.5,0.5,4.12,4.25,3.88,4,3.75,4,4,4.25,3.75,4,3.62,4,3.62,3.75,3.62,3.75,4,4,3.5,3.88,3.88,4,1.62,0.88,1.62,0.75,1,0,1,0,1.38,0.5,2,1.38,1,0,1,0,1,0,1,0,1.38,0.5,3.88,4,3.25,3.75,3.25,3.75,4,4,3.12,3.12,2.88,3.5,3.75,4
Architectural and Engineering Managers,11-9041.00,4.12,4.38,4,4,4,4.12,4,4,3.88,4.25,2.62,2.75,3.88,4.25,3.88,3.88,3.25,3.12,3.75,4,3.5,3.62,3.75,4.12,3.12,3.75,3.12,3.88,3.25,3.75,3.25,3.25,4,4.25,2.38,2.25,1.88,1.75,1,0,1,0,1.88,1.12,2.5,2.62,1.5,1.12,1.12,0.12,2,2,1,0,3,3.12,3.88,4.25,3.12,3.62,3,3.25,3.88,4,2.88,3.25,2.88,3,3.25,3.88
Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01,3.62,4.25,3.5,3.62,3.62,3.88,3.62,3.5,3.12,3.12,3.12,3,3.62,4.12,3.25,3.75,2.88,3.25,3.25,3.88,2.88,3.12,3.25,3.38,3,3.38,2.88,3.38,3,3.25,2.88,2.88,3.62,3.88,2.38,2.25,2.12,1.62,2.25,2.12,1.12,0.38,2,1.38,3,3,2.25,1.75,1.75,1.38,2,1.62,1.75,1.25,3.12,3,3.62,3.88,3.62,3.5,3.5,3.5,3.25,3.5,2,1.88,2,1.88,3.12,3.38
Food Service Managers,11-9051.00,3.62,3.62,3.75,3.5,3,3.12,3.75,3.62,2.88,2.88,1.62,1.12,3.62,3.75,3.38,3.75,3,3.25,3.75,3.88,3.62,3.75,3.62,3.75,3.12,3.12,3.12,3.5,3.25,3.38,3.88,3.62,3.25,3,2.5,2.38,1.38,0.38,1.75,0.88,1,0,1.5,0.62,2.5,2.25,2.12,1.75,1.75,1.12,1.88,1.5,1.62,0.88,2.62,2.25,3.12,2.88,2.75,2.62,2.75,2.5,3.5,3.75,3,3,3,3,3.75,3.75
Gambling Managers,11-9071.00,3.5,3.88,3.75,3.75,3.62,3.88,3.88,3.88,3.12,3.12,1.62,0.62,4,4,3.5,3.62,3.25,3.38,3.88,4,3.75,4,3.75,4.12,3.5,3.62,3.25,3.5,3.5,3.62,3.75,3.75,3.75,3.12,2,2.12,1.5,0.62,1,0,1,0,1.75,0.88,2.12,2,1.38,0.5,1,0,1.75,0.88,1,0,2.62,2.12,3.75,3.62,3.12,3,3.12,3,3.75,3.75,2.62,2.75,2.75,2.38,4,4
Lodging Managers,11-9081.00,3.88,3.88,4.12,4,3.88,4,4,4,2.62,2.88,1,0,3.75,3.88,3.75,3.88,3.38,3.62,3.75,3.75,4,3.88,3.88,3.75,3.75,4,3.88,4,3.75,3.75,4.12,4.12,3.75,3.25,1.75,1,1.88,1,1.38,0.75,1,0,1.62,0.88,2.38,2.12,2.12,2,1.38,0.75,1.88,1.5,1.38,0.75,2.62,2.38,3.75,3.75,3.12,3,3.38,3.5,3.75,3.88,2.88,3.5,3,3.62,4,4
Medical and Health Services Managers,11-9111.00,4,4.12,4,4.12,4,4,4.12,4,2.75,3,2.5,2.5,4.12,4.12,3.88,3.88,3.25,3.88,4,4.12,4,4,3.88,4.12,3.88,4,3.88,3.5,3.88,3.88,3.75,3.75,4,3.5,3.62,3.88,2,1.12,1,0,1,0,2,1.38,2,1.88,1,0,1,0,1.62,0.62,1,0,2.12,1.62,4,4,3.62,3.38,3.75,3.88,4,4,3.25,3.62,3.25,3.62,4,4.12
Natural Sciences Managers,11-9121.00,4,5,4,4.75,3.88,5,3.88,4.25,3.12,4,4.12,4.88,4,4.38,3.5,4.75,3.5,3.88,4,4.12,3.38,3.88,3.38,4,3.25,3.75,3.12,3.12,3.25,3.88,3,2.88,3.88,4.25,3.25,3.88,2.62,2.88,1.12,0.25,1,0,1.88,1.62,2.12,2.12,2,1.5,1,0,1.88,1.12,1,0,2.12,2,3.75,4.12,3.25,3.88,3.12,3.88,3.12,4.12,2.62,3.62,2.75,3,3.62,4.62
Clinical Research Coordinators,11-9121.01,4,4.25,4,4,4,4,3.88,4,2.88,3,3,3,3.75,4,3.38,4,3.12,3.38,3.62,3.75,3.62,3.75,3.88,4.12,3,3.25,2.88,3.38,3.12,3,3,3.75,3.62,3.62,1.62,1.12,1.62,0.75,1.12,0.12,1,0,1.62,0.88,1.75,1.25,1.12,0.12,1,0,1.38,0.38,1,0,1.75,1.12,3.62,3.62,2.88,2.88,2.88,3.38,3.5,3.62,2.38,2.25,2.75,2.75,3.5,3.5
Water Resource Specialists,11-9121.02,4,4.12,4,4,4,4,4,4,3.25,3.75,3,3.25,4,4,3.25,3.75,3.12,3.25,3.25,3.75,3,3.62,3.25,3.25,3.12,3.5,3,3,3,3.25,3,3,3.75,4.12,2.88,2.62,1.88,1.62,1,0,1,0,1.88,1.5,2.88,3,2.12,2,1,0,2,1.88,1,0,3,2.88,3.88,3.88,3.62,4,3.62,3.88,3.88,3.88,2.12,2.62,2.12,2.62,2.75,3.25
Postmasters and Mail Superintendents,11-9131.00,4,3.88,4,3.38,3.25,3.75,4,4,2.75,2.5,1.5,0.5,3.75,3.88,3.25,3.12,3.38,3.25,3.75,3.62,4,3.5,4,3.5,3.25,3.5,3.62,3.25,3.25,3.25,3.38,3.12,3.12,3.12,2.5,2.12,1.88,1.12,1,0,1,0,1.75,0.88,2.5,2.25,1.62,1.25,1,0,2,1.5,1,0,2.25,1.88,3.25,3.12,3,3,2.88,3,4,3.88,2.75,2.75,2.75,2.75,3.88,3.5
"Property, Real Estate, and Community Association Managers",11-9141.00,3.88,4,3.75,4,3.62,4,4,4,3,3,1.38,0.5,3.5,3.88,3,3.12,2.75,3.12,3.12,3.12,3.25,3.38,3.62,3.75,3.25,3.5,3.5,3.75,2.75,3.12,3,3,3.12,3.12,2.12,1.88,1.25,0.25,1.12,0.12,1,0,1.5,0.5,1.75,0.88,1.5,0.5,1,0,1.62,0.62,1,0,2,2,3.12,3.38,2.12,2.12,2.12,2.12,3,3.5,3,3,2.88,2.88,3.12,3.12
Social and Community Service Managers,11-9151.00,3.75,4.12,3.88,4.25,3.75,4,3.75,4.12,2.62,3.12,2.25,2,3.88,4.12,3.88,3.88,3.62,3.75,3.88,4,4,4.62,3.88,4,3.25,3.75,3.25,3.75,3.5,3.88,4,4,3.88,4.12,2.62,3.38,1.88,1.12,1,0,1,0,1.75,0.88,2.12,2.25,2,1.62,1,0,1.5,0.75,1,0,2,1.62,3.88,4.12,3.75,3.75,3.75,3.88,3.88,4,2.62,3.12,2.38,2.38,3.88,4.38
Emergency Management Directors,11-9161.00,4,4.12,4,4.12,4,4.25,4.12,4.25,3,3,1.88,1.5,4,4.38,3.75,4.25,3.88,4,4,4.62,4,4.12,4,5,3.62,4,3.38,3.5,3.75,4.12,4.25,5.25,4.12,5.38,3.12,3.25,1.5,0.5,1,0,1,0,1.5,0.5,2.12,2,1.75,1.38,1,0,1.5,0.5,1,0,2.25,2.25,4,4.25,3.62,4.12,3.5,4.12,3.75,3.88,2.62,2.75,2.75,2.88,3.5,3.75
Funeral Home Managers,11-9171.00,3.62,3.75,3.75,3.62,3.38,3.62,3.75,3.88,2.38,2.62,1.25,0.38,3.12,3.62,2.75,3,2.88,3,3.62,3.62,3.75,3.62,3.5,3.25,3.38,3.62,3.38,3.38,3,3.38,4,4,3,3,1.38,0.62,1.62,0.75,1,0,1,0,1.5,0.75,2.12,2.12,1.88,1.88,1,0,1.75,1.12,1,0,2,2,3.12,3.12,2.5,2.62,2.5,2.62,3.62,3.62,2.5,2.75,2.38,2.75,3.38,3.5
Fitness and Wellness Coordinators,11-9179.01,3.62,3.88,3.75,3.62,3.5,3.62,3.88,4,2.12,2.38,1.75,1.25,3.62,3.75,3.38,3.5,3.38,3.75,3.38,3.75,3.75,3.75,3.75,3.62,3,3.5,3,3.12,3.38,3.5,3.75,3.5,3.12,3.12,2,1.12,2,1.62,1.88,1.12,1,0,1.38,0.38,1.75,1.5,1.62,0.62,1.5,0.5,1.75,1.12,1.12,0.12,2.25,2.12,3.25,3.12,3.12,3,3.12,3.12,3.12,3.38,2.75,3,2.88,3,3.5,3.38
Spa Managers,11-9179.02,3.38,3.75,3.75,3.5,3.12,3.62,4,4,2.75,2.88,1.12,0.12,3.88,4,3.5,3.88,3.38,3.62,4,4.12,3.88,4,4,4,3.75,3.75,3.25,3.38,3.5,3.25,3.88,3.62,3.38,3.12,1.62,0.88,1.88,1.38,1.38,0.5,1,0,1.5,0.75,2.62,2,2,1.62,1,0,2,1.62,1,0,2.5,2.12,3.75,3.25,3.38,2.88,3.25,3.12,3.75,4,3.12,3.75,3,3.5,3.88,3.88
Regulatory Affairs Managers,11-9199.01,4,4.25,3.88,4,4,4,4,4,2.5,2.88,2.5,2,3.88,4.12,3.38,3.88,3,3.5,3.88,4.12,3.25,3.88,3.88,3.88,3.12,3.25,3.12,3.12,3.12,3.38,2.88,3,3.5,3.38,3,3.62,1.75,0.75,1,0,1,0,1.75,0.75,1.62,0.88,1.12,0.12,1,0,1,0,1,0,1.38,0.5,3.75,4,3.62,3.88,3.5,3.75,3.5,3.62,2,2,1.88,1.75,3.25,3.62
Compliance Managers,11-9199.02,4,4.12,3.88,4.12,3.88,4.12,3.88,4.12,2.12,2.25,1.38,0.5,4,4.25,3.75,3.88,3.25,3.5,3.75,4.62,3.5,3.62,3.75,3.75,3.62,3.75,3.12,3.12,3.38,3.75,3,2.88,3.25,3.5,1.75,1.38,1.75,0.75,1.12,0.12,1,0,1.75,0.88,2,1.5,1.5,0.62,1,0,1.25,0.38,1,0,2.12,1.88,3.5,3.88,3.25,3.38,3.12,3.38,3.12,3.12,1.88,1.5,1.88,1.38,2.62,2.88
Loss Prevention Managers,11-9199.08,4,4,4,4,3.75,3.88,4,4,2.75,2.75,1,0,3.88,4,3.75,3.75,3.25,3.25,3.88,4,3.62,3.75,3.62,3.62,3.75,3.88,3.5,3.38,3.88,3.88,3.62,3.75,3.88,3.88,2.25,2.25,1.75,1.12,1,0,1,0,1.62,0.75,2.62,2.88,2,1.75,1,0,2,1.25,1,0,2.5,2.38,3.88,4,3.75,4,3.75,3.88,3.88,3.88,2.25,2.12,2.25,2.38,3.62,4
